Basque (eu),Spanish (es),Traduccion
Medikuak esan dit kirol pixka bat egiteko.,El doctor me pidió hacer ejercicio.,El médico me ha dicho que haga un poco de deporte.
Nire adinean eta lehenengo erditzea izanda medikuak oso erne neuzkan.,"Al ser ya mayor y mi primer embarazo, los médicos estuvieron siempre alerta...","A mi edad y siendo mi primer parto, tenía a los médicos muy atentos."
Medikuak esan dit ondo nagoela.,Dice que estoy bien.,El médico me ha dicho que estoy bien.
"Medikuak esan bezala, Arta intentsiboetan dago.","Como dice el médico, está en cuidados intensivos.","Como dijo el médico, está en cuidados intensivos."
"Medikuak belarriak begiratu zizkidan, ez zen otitis bat.","El médico examinó mis oídos, no era una otitis.","El médico me revisó las orejas, no era otitis."
-Nire taldeko medikua da. -A bai?,- Es el sanitario en mi grupo.,"Es el médico de mi equipo.
¿Ah, sí?"
"Horrelako medikuak nahi nituzke, ospitalera joanez gero.","Me gustarían doctoras como esas, si tuviera que ir al hospital.","Me gustaría tener médicos así, si fuera al hospital."
Medikuak ahal duten guztia egiten ari dira.,Los doctores están haciendo todo lo posible.,Los médicos están haciendo todo lo que pueden.
Medikuarenetik etorri berri naiz berri zoragarriekin.,Estoy segura que acabo de volver del doctor con noticias que me cambiarán la vida.,Acabo de venir del médico con noticias maravillosas.
Hau da Berlingo medikuaren telefonoa.,"Este es el número de un Dr. Aquí en Berlín,",Este es el teléfono del médico de Berlín.
Ezin duzu eraman medikuak baimendu gabe.,"No puede llevarlo hasta, que no reciba confirmación.",No puedes llevarlo sin que el médico lo autorice.
Medikuak esan dit berehala elkartuko naizela biktima haiekin.,"Mis doctores me aseguraron que pronto, Me uniría a la lista de víctimas.",El médico me ha dicho que me reuniré inmediatamente con esas víctimas.
"Bai, baina, zer esan du medikuak?","Sí, pero ¿Qué dijo el doctor?","Sí, pero, ¿qué ha dicho el médico?"
epaitegia medikuaren eritziaren menpe dago.,Porque el tribunal escucha al doctor.,El tribunal está supeditado a la opinión del médico.
"Bai, eta epaitegia dio beraiek medikuari entzuten diotela.","Si, y el tribunal dijo que ellos escuchan al doctor, al doctor.","Sí, y el tribunal dice que ellos escuchan al médico."
Nire medikua.,"Es mi doctor, Cliff.",Mi médico.
Zer aholku eman zion medikuak?,¿Qué le recomendaron hacer al respecto?,¿Qué consejo le dio el médico?
Ingalaterrako medikuak hanka moztu beharko ziola esan zion.,El médico en Inglaterra le dijo que tenía que cortarle toda la pierna.,El médico inglés le dijo que tendría que cortarle la pierna.
Bobek minbizia zuela esan zigun medikuak Alan eta bioi eta zabaldurik zuela.,El médico nos dijo a Allan y a mí que Bob Marley tenía cáncer y se había extendido.,El médico nos dijo a Alan y a mí que Bob tenía cáncer y que se había extendido.
Ezin genuela ezer egin eta birarekin jarraitzen uzteko esan zigun medikuak. Oso sendoa zela eta egunen batean agertokira atera eta bertan hilko zela esan zigun.,"Pero el médico nos dijo que no debíamos hacer nada, que debíamos dejarlo continuar la gira de conciertos, que era tan fuerte y poderoso que un día iba a salir al escenario e iba a caer muerto.",El médico nos dijo que no podíamos hacer nada y que le dejáramos continuar con la gira. Nos dijo que era muy fuerte y que un día subiría al escenario y moriría allí.
"Bobengatik ezin zuela gehiagorik egin esan zigun medikuak, eta alde nahi bagenuen, hurrengo 48 orduen buruan egin beharko genuela.","El médico dijo que no podía hacer más por Bob, y que si íbamos a irnos, debíamos hacerlo en cuestión de 48 horas.","El médico nos dijo que por Bob no se podía hacer nada más, y que si queríamos irnos, tendríamos que hacerlo en las próximas 48 horas."
Zure medikua poztuko da.,A tu doctor le agradará.,Tu médico se alegrará.
Medikuarekin hitz egin dut.,Hablé con el doctor.,He hablado con el médico.
Zurekin argudiatzeko eskatu nahi genion Kurt Blumenfeldi baina hilzorian dagoela esan digu bere medikuak.,"Queríamos pedirle a Kurt Blumenfeld que razonara con usted, pero su doctor dijo que está muriendo.","Le queríamos pedir a Kurt Blumenfeld que discutiera contigo, pero su médico nos ha dicho que está moribundo."
-Medikua naiz.,- Bien.,Soy médico.
Ur gazietako hondartza batean ibiltzen ebaki bat egiten baduzu berehala joan behar duzu medikuarengana.,"Cuando uno camina por agua salobre o en la playa si se cortan, no crean que sanará fácilmente. Deben buscar atención médica inmediata si comenzara a enrojecer o si se sintieran mal.","Si te haces un corte caminando por una playa de agua salada, debes ir al médico inmediatamente."
"Jack Abrams naiz, Marylandeko Atlantic ospitaleko medikua.",Soy el Dr. Jack Abrams. Soy médico en el hospital Atlántico de Maryland.,"Soy Jack Abrams, médico del Hospital Atlantic de Maryland."
Medikuarengana joan naiz.,¿Te he dicho que estoy yendo al médico?,He ido al médico.
- Gure medikuak dauzkagu.,- Tenemos nuestros doctores.,Tenemos a nuestros médicos.
"Medikua ikusi nahi baduzu, arauak errespetatu itzazu.",Si quiere ver al médico tiene que respetar las normas. Lo siento.,"Si quieres ver al médico, respeta las reglas."
TomMelby medikua naiz. Erietxea kudeatzen dut.,"Soy el Dr. Melby, dirijo el consultorio.",Soy el doctor Tom Melby. Dirijo el hospital.
Eta gero medikua zetorrela esaten nion... eta beharbada haurdun nengoela.,Y entonces decía que había ido al médico y que estaba... que tal vez estaba embarazada.,Y luego le decía que venía el médico... y que quizás estaba embarazada.
-Medikuari deituko al diot?,¿Tengo que llamar a un doctor?,¿Llamaré al médico?
"Baieztatu dute txirrindulariak erabili zuela ukendu bat, markaren izen eta guzti, eta froga egin aurretik erakutsi ziela medikuaren errezeta.",Confirman el uso de un ungüento y lo nombran. El ciclista les mostró una receta médica antes de la prueba.,"Han confirmado que el ciclista usó un ungüento, con el nombre de la marca y todo, y que les mostró la receta del médico antes de hacer la prueba."
"Michele Ferrarirekin elkartu ginen, Lanceren medikua, honek karabana batean bidaiatzen zuen, parkin batean elkartu ginen, Milan hiriaren kanpoaldean autobidetik irtenda, gasolindegi batean.","Conocimos a Ferrari, el doctor de Lance... Betsy Andreu Esposa de un Excompañero ...que viajaba en una casa rodante en un estacionamiento en las afueras de Milán, cerca de la carretera y de una gasolinera de hotel.","Nos reunimos con Michele Ferrari, el médico de Lance, quien viajaba en una caravana, en un parking a las afueras de Milán, tras salir de la autopista, en una gasolinera."
"Ez dakit zuk, baina nik ez dut nire medikua horrela ikusten.","Yo no sé tú, pero yo no veo así a mi doctor.","No sé tú, pero yo no veo a mi médico así."
"Auzitan zeuden dopina eta elkarrizketa bat Lancek eta bere medikuak izandakoa, minbizia tratatzen ari zirela. Bai.",Giraba en torno al dopaje y una charla de Lance con su doctor mientras le trataban su cáncer.,Estaban en cuestión el dopaje y una conversación que Lance y su médico tuvieron mientras trataban el cáncer. Sí.
Medikua gelan sartu zen.,El doctor llegó.,El médico entró en la habitación.
Medikuak galdera pare bat egin zizkion.,El doctor le hizo un par de preguntas.,El médico le hizo un par de preguntas.
Ezin zuen gogoratu medikua gizonezkoa edo emakumezkoa zen.,No recordaba si el doctor era hombre o mujer.,No podía recordar si el médico era hombre o mujer.
"Medikuak onartuko du borrokaldia, beste edozein bezala, ados?",Esta pelea será autorizada por médicos como cualquier otra.,"El médico aceptará la pelea, como cualquier otra, ¿de acuerdo?"
"Tira, aztertu zaituzten medikua nire anaia da.",Lo saben. Mi hermano es el médico que los vio.,"Pues, el médico que os ha examinado es mi hermano."
Medikuak agindu bezalaxe.,Justo lo que ordenó el doctor.,Tal como el médico ordenó.
Medikua?,¿Medicina?,¿El médico?
Medikua iristeko zorian dago.,El médico no tardará en llegar.,El médico está a punto de llegar.
Medikuak gomendatutako sendategira joango naiz.,"Padre, quiero ir al hospital que me recomendó el médico.",Iré a la clínica recomendada por el médico.
Eta medikuari ere esan diot.,Ya se lo he dicho al doctor.,Y también se lo he dicho al médico.
Zorionak medikua izateagatik.,Enhorabuena por tu título de medicina.,Felicidades por ser médico.
Espero dut medikua izatea.,Espero que sea un doctor.,Espero ser médico.
"Bai, medikua da.","Si, si, si, es un doctor.","Sí, es médico/a."
"-Beraz, medikua zara.",- Eres médico.,"Entonces, eres médico."
Hitzordua medikuarekin.,Tengo una cita con el médico.,Cita con el médico.
Hitzordua nuen medikuarekin.,Tuve una cita médica.,Tenía una cita con el médico.
"'R Kelly-k hegan egin zezakeela sinesten zuen, 'eta Michael Jackson-ek bere medikua kualifikatua zegoela...'","""R Kelly creía que podía volar, ""y Michael Jackson creía que su doctor estaba cualificado...""","R Kelly creía que podía volar, 'y Michael Jackson creía que su médico estaba cualificado...'"
-Badakizu ez zarela medikua?,-¿Sabe que no es un médico de verdad?,¿Sabes que no eres médico?
Ni ez naiz medikua.,Yo no soy médico.,No soy médico.
"Badakit ez zarela medikua, buru-argi.","Tarado, ya sé que no eres médico.","Sé que no eres médico, listo."
"Oraintxe bertan, medikuarekin dago.",Ella está con el especialista en este momento.,"Ahora mismo, está con el médico."
Bazenekiten medikuaren hutsegite bat izan zela?,¿Sabes que ha sido por un fallo médico?,¿Sabían que había sido un error del médico?
Tareken gorpua hozkailuan sartuta eduki zuten bi hilabetez. Hala dio auzitegiko medikuaren txostenak.,"Mantuvieron refrigerado el cuerpo de Tarek más de dos meses, según el informe del forense.",Mantuvieron el cadáver de Tareque en la nevera durante dos meses. Así lo afirma el informe del médico forense.
Kaka! Medikuak potroak moztu dizkizu ala?,¿El doctor te cortó las pelotas?,¡Mierda! ¿Te ha cortado los cojones el médico?
"Behin medikuarenera joan nintzen, eta Chlamydia nuela esan zidaten.",Un día fui al doctor y me dijeron que tenía clamidia.,Una vez fui al médico y me dijeron que tenía clamidia.
"Farmazia enpresetakoak dira, ez medikuak.","Representan a compañías, no son médicos.","Son de las empresas farmacéuticas, no médicos."
Nork esan du medikua naizela?,¿Quién dijo que era doctor?,¿Quién ha dicho que soy médico?
"Zerbait esan nahi badidazu, hitz egin nire benetako medikuarekin, Eve Saks-ekin... eta zuk, ekarri armada puta oso bat","Si tiene algo que decirme, dígaselo a mi doctora, Eve Saks y tú trae un maldito ejército.","Si tienes algo que decirme, habla con mi verdadero médico, Eve Saks... y tú, trae a todo un jodido ejército."
Bere medikua zara eta ez dakizu zer hartzen duen?,¿Ud. es su médico y no sabe qué medicinas toma?,¿Eres su médico y no sabes qué toma?
-Segurtasuna! Medikua zarela diozu?,¿Te llamas un doctor?,¡Seguridad! ¿Dices que eres médico?
"Medikuak, apaizak eta Erdi Aroko zaldunak bezala.","Como los médicos, los curas, los caballeros medievales...","Como médicos, sacerdotes y caballeros medievales."
Biziko da. Medikuak dio...,El doctor dijo que estará bien.,Vivirá. El médico dice...
Hor dator medikua.,Aquí viene la doctora.,Ahí viene el médico.
Medikuak behar ditugu.,Necesitamos médicos.,Necesitamos médicos.
Medikua zara.,- Es doctor.,Eres médico.
Medikua edo horrelako zerbait ote zara?,¿Eres un doctor o algo?,¿Eres médico o algo así?
Ohartu medikuari.,"Nancy, trae al doctor.",Informa al médico.
Badator medikua.,Es el doctor.,Viene el médico.
"Egundokoak entzun behar ditu medikuak... hurrengo hitzorduan, asteartean!",Ese médico brujo me va a escuchar en mi cita de revisión el próximo martes.,"El médico va a tener que oír de todo... ¡en la próxima cita, el martes!"
Buruko mina dut. Medikuarengana joan naiz.,Fui a ver a un doctor.,Tengo dolor de cabeza. He ido al médico.
Zertarako egin prestakuntza medikua izateko asmorik ez bazenuen?,¿Por qué te graduaste en pre-medicina si no deseas estudiar medicina?,¿Para qué hiciste la formación médica si no tenías intención de ser médico?
"Bai, egiten duzun gauza bat dago... ohetik altxatzen zara... eta bira antzeko bat egiten duzu... eta ahal bezain laster arropa kentzen duzu... medikuarenean egongo bazina bezala.","Vale, sí, haces esta cosa donde tes levantas de la cama te das vuelta y te desnudas tan rápido como sea posible y es como si estuvieras preparándote para un examen físico o algo así.","Sí, hay una cosa que haces... te levantas de la cama... y das como un giro... y tan pronto como puedes te quitas la ropa... como si estuvieras en el médico."
Zure gurasoak medikuak ziren?,"Entonces, ¿Tus padres fueron médicos?",¿Eran tus padres médicos?
Ez da medikua izateko asmoa bertan behera utzi nuela.,No es que dejé de querer ser médico.,No es que abandonara la intención de ser médico.
Orduan medikua izan nahi duzu.,Así que quieres ser un doctor.,Entonces quieres ser médico.
Ez dut inoiz medikua izan nahi. Inoiz.,"Yo nunca quería ser un médico, nunca... ugh.",Nunca quiero ser médico. Nunca.
Mike medikua bilatuko dut hitz egiten ari zarela esateko.,Buscaré al doctor Mike para decirle que estás hablando. Qué bien.,Buscaré al doctor Mike para decirle que estás hablando.
Medikuak aitari esan zion... entrenatzaile izatearen estresak hil egingo zuela.,Los médicos le dijeron a mi padre que el estrés del entrenamiento lo mataría.,El médico le dijo al padre... que el estrés de ser entrenador lo mataría.
-Medikuarekin hitzordua nuen.,Tenía una cita con el doctor.,Tenía una cita con el médico.
Medikuak esan dit.,Tengo un aviso del Doc.,El médico me ha dicho.
"Medikuak esan zuen: ""Ez izorratu zuen bizitza 10 minutuko plazerrarengatik"".","El Doctor dijo: ""Así que no arruinar su vida durante 10 minutos de placer","El médico dijo: ""No arruinéis vuestra vida por un placer de 10 minutos""."
Medikuak hil zaitzake.,El médico te puede matar.,El médico te puede matar.
Harper medikuak ikusiko dizu bihar zauria.,Deja que el Dr. Harper te vea eso mañana.,El doctor Harper te examinará la herida mañana.
-Ez mugitu medikua heldu arte!,- ¡No lo muevan!,¡No te muevas hasta que llegue el médico!
Meg Ryanen medikua ekarriko diogu.,Usaremos el cirujano de Meg Ryan. ¿Qué importa?,Le traeremos al médico de Meg Ryan.
Zeu zara medikua?,"¿Qué, eres un médico?",¿Eres el médico?
Medikuaren laguntza behar du.,Ella necesita atención médica.,Necesita la ayuda del médico.
Laguntza medikua behar duen neska bat daukazue ziegan.,Está encerrando en una celda a una niña que necesita atención médica.,Tienen a una chica que necesita ayuda médica en la celda.
Medikua!,¡Médico!,¡Doctor!
Hildakoak? Medikua zara?,¿Eres doctor?,¿Muertos? ¿Eres médico?
Auzitegiko medikuak esango du hori.,Las pruebas forenses lo dirán.,El médico forense lo dirá.
Baina jada ez da medikua.,Pero ya no es médico.,Pero ya no es médico.
Hori egiteko prest dagoen medikuak oso berezia izan behar du.,Es muy raro que un médico haga eso.,El médico que está dispuesto a hacer eso debe ser muy especial.
"Kontratenorrak edo baritonoak izango zarete; batzuk, dentistak... edo medikuak.","Algunos de ustedes se convierten en altos, otros de ustedes en barítonos, otros se convierten en dentistas. Médicos.","Seréis contratenores o barítonos; algunos, dentistas... o médicos."
Medikuak esan zuen aire garbia arnastu behar nuela bolada batez.,El médico me dijo que debía ir a un sitio con aire limpio.,El médico dijo que tenía que respirar aire limpio por un tiempo.
-Medikua!,- ¿Qué...?,¡Médico!
"Zu medikua eta gu pazienteak bagina, zein izango litzateke diagnostikoa?",¿cuál es su diagnóstico?,"Si tú fueras el médico y nosotros los pacientes, ¿cuál sería el diagnóstico?"
Medikuak deitu dit telefonoz odol analisien emaitzak emateko.,Era mi doctora al teléfono con los resultados de un análisis de sangre.,El médico me ha llamado por teléfono para darme los resultados de los análisis de sangre.
"Normalean hala egiten dut, baina hitzordua nuen medikuarekin.","Normalmente, lo haría, pero tenía una cita con el doctor...","Normalmente lo hago así, pero tenía cita con el médico."
Medikuarekin?,- ¿Cita con el doctor?,¿Con el médico?
Zergatik joan zara medikuarenera?,¿Por qué vas a ir al doctor?,¿Por qué has ido al médico?
Medikuaz baliatu da zure emaztea ilusionatzeko.,Utilizó este médico de lujo para obtener su esposa de vuelta en el tren del bebé,Se ha valido del médico para ilusionar a tu esposa.
Medikua da eta nobelista ospetsua. Tira...,Resulta que ella es un médico y a celebran novelista me refiero,Es médico y un novelista famoso. Bueno...
Medikuak esan dio agian ez dela ospitaletik aterako.,El doctor dijo que quizá nunca deje el hospital.,El médico le ha dicho que quizás no salga del hospital.
Aita medikua izan zen.,Mi padre fue doctor.,Mi padre fue médico.
"Eraman medikuarengana, orain.","Llévenlo al doctor, ahora.","Llévalo/a al médico, ahora."
Medikuarengana eramango zaitut!,¡Tenemos que llevarlo a un doctor!,Te llevaré al médico.
"Medikuak etorri, eta makinak ekarri zituzten.","Entonces más médicos llegaron corriendo, y trajeron a más máquinas y ...",Los médicos vinieron y trajeron las máquinas.
"Jimmyk dio aurten itzuliko dela, baina medikua ez zegoen ziur.","Jimmy dice que vuelve este año, pero el doctor no parecía seguro.","Jimmy dice que este año volverá, pero el médico no estaba seguro."
"Jauna, nahi duzu medikuari deitzea?","Señor, ¿quiere que llame a su médico?","Señor, ¿quiere llamar al médico?"
Nahi duzu medikuari deitzea?,¿Quiere que llame a su médico?,¿Quieres que llame al médico?
Faktura medikua ordaindu dezaket edo afaltzera etorri.,Puedo pagar la cuenta del hospital o ir donde Ricky. ¿Cuál quieres?,Puedo pagar la factura médica o venir a cenar.
Deitu medikua!,¡Consigan un doctor!,¡Llama al médico!
Hargek esan digu nahiko ongi doakizula zure medikuarekin.,"Harge nos dijo que te estabas llevando muy bien con tu doctor, Carol.",Harge nos ha dicho que te va bastante bien con tu médico.
"Egia, ez da medikua, psikoterapeuta bat da.","Bueno, de hecho no es un doctor sino un psicoterapeuta.","La verdad, no es médico, es psicoterapeuta."
Baina ez da medikua.,"Sí, pero eso no lo hace un doctor.",Pero no es médico.
"Caroline MacKenzie, gure medikua.","Caroline MacKenzie, nuestra doctora.","Caroline MacKenzie, nuestra médica."
"Medikuak ezin izan zuen jakin zergatik hil zen, beste biktima guztiekin ez bezala.","De todas las víctimas, ella fue reportada como la única causa de muerte inconclusa.","El médico no pudo saber por qué murió, a diferencia de todas las demás víctimas."
"13 edo 14 urte zituela, antidepresiboak eman zizkion medikuak.","Cuando tenía 13 o 14 años, la llevaron al médico y le dieron antidepresivos.","Cuando tenía 13 o 14 años, el médico le dio antidepresivos."
Hura zaintzen zuen medikuak begietara so egin eta esan zidan:,El médico que la atendía me miró a los ojos y me dijo:,El médico que lo/la cuidaba me miró a los ojos y me dijo:
Medikuak odol-azterketak egiten zizkion sarritan.,El médico le hacía análisis de sangre a menudo.,El médico le hacía análisis de sangre a menudo.
Medikua hemen al dago?,¿Se encuentra el doctor?,¿Está el médico aquí?
-Medikua al zara?,- ¡No grite! - ¿Es el doctor o no?,¿Eres médico?
Non dago medikua?,¿Dónde está el doctor?,¿Dónde está el médico?
Gure medikuak penizilinarik gabe hilko dela esan du.,¡El doctor dijo que sin penicilina...! ¡sus heridas se infectarían y se moriría!,Nuestro médico ha dicho que morirá sin penicilina.
"Esan medikuari zelak eragindako mina dudala, eta errezeta bat behar dudala Kortisona-pomada lortzeko.",Dile al doctor que tengo dolores. Y necesito una receta de crema de cortisona.,"Dile al médico que tengo dolor causado por una llaga, y que necesito una receta para conseguir pomada de cortisona."
Medikua sartzen da.,Y entra este doctor.,El médico entra.
"Orduan, medikuak:",Entonces este doctor le pregunta.,"Entonces, el médico:"
"Gogoan duzu, beste batzuk gelan zeudela, medikuak galdetu ote zizun ea hartu zenuen droga indargarririk?",¿Recuerdas que mientras esas personas estaban en la habitación un médico le preguntó si había tomado drogas para mejorar el rendimiento?,"¿Recuerdas si el médico te preguntó, mientras otros estaban en la habitación, si habías tomado alguna droga estimulante?"
- Medikuak esan zuen...,- El doctor dijo que...,El médico dijo...
"Medikuak ez zuen hori esan, ez dakizu zer esan zuen ... Elkarrizketa pertsonal bat izan zelako.","Eso no es lo que dijo el doctor, tú no sabes lo que dijo... porque fue una conversación personal.","El médico no dijo eso, no sabes qué dijo... Porque fue una conversación personal."
Medikua naiz.,Soy médico.,Soy médico.
"Zu nire medikua zinen, ez?","Tú eras mi doctor, ¿no?","Tú eras mi médico, ¿verdad?"
- Taldeko medikua.,- Era el doctor del equipo.,El médico del equipo.
Taldeko medikua!,¡El doctor del equipo!,¡El médico del equipo!
Bennet Omalu doktorea izan da.... ...Ikerketa Medikuaren Bulegotik. Gaur erronka bota dio NFLri.,"Nos habló el Dr. Bennet Omalu de la Oficina del Investigador Médico, quien hoy retó a la Liga Profesional de Fútbol.",El Dr. Bennet Omalu ha sido... de la Oficina del Médico Forense. Hoy ha desafiado a la NFL.
"Esan. Zein dira zer aukera estatistiko zegoen zu, medikua ez baizik eta Bennet Omalu, AEBra etortzeko leku apurtu honetan amaitzeko eta bakarra izateko hau ikusten?","Dime ¿cuáles son las probabilidades estadísticas de que tú, no solo un doctor sino Bennet Omalu, viniera a EE.","Dime. ¿Cuáles eran las probabilidades estadísticas de que tú, no un médico, sino Bennet Omalu, vinieras a EE. UU., terminaras en este lugar destrozado y fueras el único en ver esto?"
Steelersen medikua.,Médico de los Steelers.,El médico de Steele
Aipatu futboleko gauzak medikuak ez diren hitzak.,Menciona cosas de fútbol términos que no sean médicos.,Habla de cosas de fútbol con palabras que no son médicas.
"Ni ez naiz medikua, baina mediku txosten osoa hartu behar da kontuan.","Yo no soy médico, pero hay que considerar todo su expediente médico.","No soy médico, pero se debe tener en cuenta todo el informe médico."
Nire medikua lehendakariordearen emaztearen medikua da.,Mi médico es el mismo que trató a la esposa del vicepresidente.,Mi médico es el médico de la esposa del vicepresidente.
Medikuak esan dit ongi osatzen ari zarela.,El médico me dijo que te estás recuperando bien. Sí.,El médico me ha dicho que te estás recuperando bien.
Azterketa du medikuarenean.,Se hizo ver con el doctor.,Tiene un examen en el médico.
Zure anaia medikua da?,¿Es doctor?,¿Tu hermano es médico?
"Zuk daukazunaren termino medikua ""gaueko izerdia"" da.","Bueno, entonces, el término médico de lo que tienes es ""sudores nocturnos"".","El término médico de lo que tienes es ""sudor nocturno""."
Zer esan dizu medikuak?,"Así que, um, ¿Qué dijo el doctor? Uh, no es nada.",¿Qué te ha dicho el médico?
-Hainbat aldiz esan diet. Ipurtzuloko medikuarekin diru asko gastatu nuelako dela diote.,"Ya lo hice, muchas veces, pero dicen que si yo no gastara tanto en el médico del ano, habría fondos.",Se lo he dicho varias veces. Dicen que es porque gasté mucho dinero con el médico del culo.
Baina medikua neuk ordaindu nuen.,Pero yo pago mis médicos de mi bolsillo.,Pero yo pagué al médico.
"""Haurdun dauden emakumeek eta zorabiatzen direnek medikuaren baimena behar dute igotzeko.",Las mujeres embarazadas y los que sufren de mareos... deben consultar a un médico antes de subirse.,Las mujeres embarazadas y quienes se marean necesitan permiso del médico para subir.
Medikua da?,¿Es médico?,¿Es médico/a?
"Fats, medikua behar duzu.","Fats, necesitas un terapeuta. Necesito sexo, Arf.","Fats, necesitas un médico."
Medikuarengana lagunduko lizuke... eskutik heldu erditzean.,Una habitación de madre e hijo.,Te acompañaría al médico... cogiéndote de la mano durante el parto.
Eta zuk medikuak zaindu beharreko konfidentzialtasuna apurtu duzu.,Y tú has roto la confidencialidad médico-paciente.,Y tú has roto la confidencialidad que el médico debe guardar.
Beharbada medikuarengana itzuli beharko zenuke.,¿Quizás deberías volver con los doctores?,Quizás deberías volver al médico.
Zerbait eman zizun medikuak?,¿Te recetaron algo en la unidad médica?,¿El médico te dio algo?
Zer esan du medikuak?,¿Te sientes bien? ¿Qué dijo el médico?,¿Qué ha dicho el médico?
Nire ustez medikuak gorpuen aurrean geratzen dira... heriotzaren arrazoiak esaten. Baina jakin nahi nuke arrazoirik argiena isilean gordetzen duten.,"Me parece que los médicos se paran frente a los cadáveres declarando las causas de la muerte, pero me pregunto si no están omitiendo la causa más obvia de todas.","En mi opinión, los médicos se quedan ante los cadáveres... diciendo las causas de la muerte. Pero me gustaría saber si la razón más clara la guardan en secreto."
"Ez baduzu jateko asmorik, medikuak esan du lo egiteko.","Si no vas a comer, el médico dice que duermas.","Si no tienes ganas de comer, el médico ha dicho que duermas."
-Baina medikuak?,Dice que su mujer está bien.,"Pero, ¿los médicos?"
"Programa ordaintzeko, Gizarte Segurantza aztertu behar dugu, laguntza medikua eta etekinak, goitik behera.","Para pagar el programa, tendremos que replantear Seguridad Social la asistencia médica y los beneficios radicalmente.","Para pagar el programa, debemos estudiar a fondo la Seguridad Social, la asistencia médica y las prestaciones."
- Medikua etorraraziko dut.,- Haré que venga el médico.,Haré venir al médico.
- Medikua ikusi duzu?,- ¿Ha visto al médico?,¿Has visto al médico?
-Biluztu zarete medikuaren aurrean?,- ¿Estabas desnuda delante del doctor?,¿Os habéis desvestido delante del médico?
Ez zen beharrezkoa medikuarengana joatea. Esan genizun.,No tenía sentido ir a que nos revisara un médico... eso fue lo que él me dijo.,No era necesario ir al médico. Te lo dijimos.
"Hementxe daukat Taber Hiztegi Medikua eta ez dute jasotzen ""tentsio sexual"" esapidea...",Tengo aquí el Diccionario Médico Taber y ellos no recogen el término tensión sexual...,"Aquí mismo tengo el Diccionario Médico Taber y no recoge la expresión ""tensión sexual""."
Medikua naiz eta ikertzailea.,Soy ambas cosas. Soy médico e investigador.,Soy médico y soy investigador.
Ez zara medikua.,No eres médico.,No eres médico.
Medikuak Henryrekin daude.,Los médicos están con Henry.,Los médicos están con Henry.
"Zer esan du medikuak, maitea?","¿Qué dijo el médico, mi amor?","¿Qué ha dicho el médico, cariño?"
Medikuak esan du osatuko dela?,¿El médico dijo que va a estar bien?,¿Ha dicho el médico que se curará?
Agian zegokidana baino denbora gehiago neureganatu dut baina uste dut liburuak merezi duela azterketa hori ebaluazio egiazko bat merezi du gizartean izango duen inpaktua aintzat hartuta ez bakarrik balio zientifiko ikaragarriagatik komunitate medikuaren mesederako baizik eta ekarpena ikaragarria delako.,Puede que haya abusado del tiempo que me correspondía porque creo que su libro merece tal escrutinio merece una evaluación sincera en virtud de su impacto en la sociedad no solo en cuanto al inmenso valor científico que le provee a la comunidad médica sino porque su contribución es inmensa.,"Quizás me he tomado más tiempo del que me correspondía, pero creo que el libro merece ese análisis y una evaluación genuina, considerando el impacto que tendrá en la sociedad, no solo por su formidable valor científico en beneficio de la comunidad médica, sino porque su aportación es inmensa."
Bidaia bat azterketa medikuaren alor txundigarrienetako batetik.,Un viaje a través de uno de los campos más fascinantes del estudio médico.,Un viaje a través de uno de los campos más fascinantes del examen médico.
Medikuari deituko diot.,"Voy a llamar al médico, mamá.",Llamaré al médico.
Medikuarenera eraman nian eta esan zian... haurra ezin dukela osasuntsu bizi giro horretan.,El Dr. Chadha dice que el bebé no puede estar sano ahí debido a su bronquitis.,Lo llevé al médico y me dijo... que el niño no puede vivir sano en ese ambiente.
-Gure medikuak--,- Nuestro doctor... nuestro doctor nos dijo...,Nuestros médicos
Geratu medikuak alta eman arte. Ea puta aurkitzerik daukazun. Hemen pixa-usaina dago!,"Bueno, ve a ver si te dan el alta médica y trata de traer a la ramera.",Quédate hasta que el médico te dé el alta. A ver si encuentras a la puta. ¡Aquí huele a pis!
Medikuak esan zuen.,Eso dijo el médico.,El médico dijo.
Hitz egin behar dugu. Medikuari hitzordu berria eskatzeko.,Deberíamos hablar si queremos reprogramar esa cita con el médico.,Tenemos que hablar. Para pedir una nueva cita al médico.
Nor zen zure amaren medikua?,"Y tu madre, ¿quién era su médico?",¿Quién era el médico de tu madre?
"Baina medikuarengana joan nintzen, bakarrik, behin baino gehiagotan.",Pensé que quizás... pero fui al médico sola. Tuve más de una.,"Pero fui al médico, solo, más de una vez."
-Medikua?,Doctora.,¿Médico?
"Nire betebeharra, medikua naizen aldetik, pertsonei bizitzen laguntzea da.",Mi deber como médico es ayudar a las personas a vivir.,"Mi deber, como médico, es ayudar a las personas a vivir."
"Sorosleak, medikuak, ebakuazio masiboak.","Socorristas, médicos, evacuación en masa.","Socorristas, médicos, evacuaciones masivas."
"Bere medikua gabe, bere ume pikortsurik gabe, hegazkin hau bezain goian ibiliko litzateke.",Sin su médico ni sus críos llenos de granos ella podría volar tan alto como este avión.,"Sin su médico, sin su hijo difícil, estaría tan alto como este avión."
Itzuli eta Etxe Zuriko medikua ikusi behar du.,Tiene que volver y ver al médico de la Casa Blanca.,Tiene que volver y ver al médico de la Casa Blanca.
