Basque (eu),Spanish (es),es_traduction
Ezin zuen gogoratu medikua gizonezkoa edo emakumezkoa zen.,No recordaba si el doctor era hombre o mujer.,Erreur
"Medikuak onartuko du borrokaldia, beste edozein bezala, ados?",Esta pelea será autorizada por médicos como cualquier otra.,Erreur
"Tira, aztertu zaituzten medikua nire anaia da.",Lo saben. Mi hermano es el médico que los vio.,Erreur
Medikuak agindu bezalaxe.,Justo lo que ordenó el doctor.,Erreur
Medikua?,¿Medicina?,Erreur
Medikua iristeko zorian dago.,El médico no tardará en llegar.,Erreur
Medikuak gomendatutako sendategira joango naiz.,"Padre, quiero ir al hospital que me recomendó el médico.",Erreur
Eta medikuari ere esan diot.,Ya se lo he dicho al doctor.,Erreur
Zorionak medikua izateagatik.,Enhorabuena por tu título de medicina.,Erreur
Espero dut medikua izatea.,Espero que sea un doctor.,Erreur
"Bai, medikua da.","Si, si, si, es un doctor.",Erreur
"-Beraz, medikua zara.",- Eres médico.,Erreur
Hitzordua medikuarekin.,Tengo una cita con el médico.,Erreur
Hitzordua nuen medikuarekin.,Tuve una cita médica.,Erreur
"'R Kelly-k hegan egin zezakeela sinesten zuen, 'eta Michael Jackson-ek bere medikua kualifikatua zegoela...'","""R Kelly creía que podía volar, ""y Michael Jackson creía que su doctor estaba cualificado...""",Erreur
-Badakizu ez zarela medikua?,-¿Sabe que no es un médico de verdad?,Erreur
Ni ez naiz medikua.,Yo no soy médico.,Erreur
"Badakit ez zarela medikua, buru-argi.","Tarado, ya sé que no eres médico.",Erreur
"Oraintxe bertan, medikuarekin dago.",Ella está con el especialista en este momento.,Erreur
Bazenekiten medikuaren hutsegite bat izan zela?,¿Sabes que ha sido por un fallo médico?,Erreur
Tareken gorpua hozkailuan sartuta eduki zuten bi hilabetez. Hala dio auzitegiko medikuaren txostenak.,"Mantuvieron refrigerado el cuerpo de Tarek más de dos meses, según el informe del forense.",Erreur
Kaka! Medikuak potroak moztu dizkizu ala?,¿El doctor te cortó las pelotas?,Erreur
"Behin medikuarenera joan nintzen, eta Chlamydia nuela esan zidaten.",Un día fui al doctor y me dijeron que tenía clamidia.,Erreur
"Farmazia enpresetakoak dira, ez medikuak.","Representan a compañías, no son médicos.",Erreur
Nork esan du medikua naizela?,¿Quién dijo que era doctor?,Erreur
"Zerbait esan nahi badidazu, hitz egin nire benetako medikuarekin, Eve Saks-ekin... eta zuk, ekarri armada puta oso bat","Si tiene algo que decirme, dígaselo a mi doctora, Eve Saks y tú trae un maldito ejército.",Erreur
Bere medikua zara eta ez dakizu zer hartzen duen?,¿Ud. es su médico y no sabe qué medicinas toma?,Erreur
-Segurtasuna! Medikua zarela diozu?,¿Te llamas un doctor?,Erreur
"Medikuak, apaizak eta Erdi Aroko zaldunak bezala.","Como los médicos, los curas, los caballeros medievales...",Erreur
Biziko da. Medikuak dio...,El doctor dijo que estará bien.,Erreur
Hor dator medikua.,Aquí viene la doctora.,Erreur
Medikuak behar ditugu.,Necesitamos médicos.,Erreur
Medikua zara.,- Es doctor.,Erreur
Medikua edo horrelako zerbait ote zara?,¿Eres un doctor o algo?,Erreur
Ohartu medikuari.,"Nancy, trae al doctor.",Erreur
Badator medikua.,Es el doctor.,Erreur
"Egundokoak entzun behar ditu medikuak... hurrengo hitzorduan, asteartean!",Ese médico brujo me va a escuchar en mi cita de revisión el próximo martes.,Erreur
Buruko mina dut. Medikuarengana joan naiz.,Fui a ver a un doctor.,Erreur
Zertarako egin prestakuntza medikua izateko asmorik ez bazenuen?,¿Por qué te graduaste en pre-medicina si no deseas estudiar medicina?,Erreur
"Bai, egiten duzun gauza bat dago... ohetik altxatzen zara... eta bira antzeko bat egiten duzu... eta ahal bezain laster arropa kentzen duzu... medikuarenean egongo bazina bezala.","Vale, sí, haces esta cosa donde tes levantas de la cama te das vuelta y te desnudas tan rápido como sea posible y es como si estuvieras preparándote para un examen físico o algo así.",Erreur
Zure gurasoak medikuak ziren?,"Entonces, ¿Tus padres fueron médicos?",Erreur
Ez da medikua izateko asmoa bertan behera utzi nuela.,No es que dejé de querer ser médico.,Erreur
Orduan medikua izan nahi duzu.,Así que quieres ser un doctor.,Erreur
Ez dut inoiz medikua izan nahi. Inoiz.,"Yo nunca quería ser un médico, nunca... ugh.",Erreur
Mike medikua bilatuko dut hitz egiten ari zarela esateko.,Buscaré al doctor Mike para decirle que estás hablando. Qué bien.,Erreur
Medikuak aitari esan zion... entrenatzaile izatearen estresak hil egingo zuela.,Los médicos le dijeron a mi padre que el estrés del entrenamiento lo mataría.,Erreur
-Medikuarekin hitzordua nuen.,Tenía una cita con el doctor.,Erreur
Medikuak esan dit.,Tengo un aviso del Doc.,Erreur
"Medikuak esan zuen: ""Ez izorratu zuen bizitza 10 minutuko plazerrarengatik"".","El Doctor dijo: ""Así que no arruinar su vida durante 10 minutos de placer",Erreur
Medikuak hil zaitzake.,El médico te puede matar.,Erreur
Harper medikuak ikusiko dizu bihar zauria.,Deja que el Dr. Harper te vea eso mañana.,Erreur
-Ez mugitu medikua heldu arte!,- ¡No lo muevan!,Erreur
Meg Ryanen medikua ekarriko diogu.,Usaremos el cirujano de Meg Ryan. ¿Qué importa?,Erreur
Zeu zara medikua?,"¿Qué, eres un médico?",Erreur
Medikuaren laguntza behar du.,Ella necesita atención médica.,Erreur
Laguntza medikua behar duen neska bat daukazue ziegan.,Está encerrando en una celda a una niña que necesita atención médica.,Erreur
Medikua!,¡Médico!,Erreur
Hildakoak? Medikua zara?,¿Eres doctor?,Erreur
Auzitegiko medikuak esango du hori.,Las pruebas forenses lo dirán.,Erreur
Baina jada ez da medikua.,Pero ya no es médico.,Erreur
Hori egiteko prest dagoen medikuak oso berezia izan behar du.,Es muy raro que un médico haga eso.,Erreur
"Kontratenorrak edo baritonoak izango zarete; batzuk, dentistak... edo medikuak.","Algunos de ustedes se convierten en altos, otros de ustedes en barítonos, otros se convierten en dentistas. Médicos.",Erreur
Medikuak esan zuen aire garbia arnastu behar nuela bolada batez.,El médico me dijo que debía ir a un sitio con aire limpio.,Erreur
-Medikua!,- ¿Qué...?,Erreur
"Zu medikua eta gu pazienteak bagina, zein izango litzateke diagnostikoa?",¿cuál es su diagnóstico?,Erreur
Medikuak deitu dit telefonoz odol analisien emaitzak emateko.,Era mi doctora al teléfono con los resultados de un análisis de sangre.,Erreur
"Normalean hala egiten dut, baina hitzordua nuen medikuarekin.","Normalmente, lo haría, pero tenía una cita con el doctor...",Erreur
Medikuarekin?,- ¿Cita con el doctor?,Erreur
Zergatik joan zara medikuarenera?,¿Por qué vas a ir al doctor?,Erreur
Medikuaz baliatu da zure emaztea ilusionatzeko.,Utilizó este médico de lujo para obtener su esposa de vuelta en el tren del bebé,Erreur
Medikua da eta nobelista ospetsua. Tira...,Resulta que ella es un médico y a celebran novelista me refiero,Erreur
Medikuak esan dio agian ez dela ospitaletik aterako.,El doctor dijo que quizá nunca deje el hospital.,Erreur
Aita medikua izan zen.,Mi padre fue doctor.,Erreur
"Eraman medikuarengana, orain.","Llévenlo al doctor, ahora.",Erreur
Medikuarengana eramango zaitut!,¡Tenemos que llevarlo a un doctor!,Erreur
"Medikuak etorri, eta makinak ekarri zituzten.","Entonces más médicos llegaron corriendo, y trajeron a más máquinas y ...",Erreur
"Jimmyk dio aurten itzuliko dela, baina medikua ez zegoen ziur.","Jimmy dice que vuelve este año, pero el doctor no parecía seguro.",Erreur
"Jauna, nahi duzu medikuari deitzea?","Señor, ¿quiere que llame a su médico?",Erreur
Nahi duzu medikuari deitzea?,¿Quiere que llame a su médico?,Erreur
Faktura medikua ordaindu dezaket edo afaltzera etorri.,Puedo pagar la cuenta del hospital o ir donde Ricky. ¿Cuál quieres?,Erreur
Deitu medikua!,¡Consigan un doctor!,¡Llama al médico!
Hargek esan digu nahiko ongi doakizula zure medikuarekin.,"Harge nos dijo que te estabas llevando muy bien con tu doctor, Carol.",Te ha dicho que te llevas bastante bien con tu médico.
"Egia, ez da medikua, psikoterapeuta bat da.","Bueno, de hecho no es un doctor sino un psicoterapeuta.","Verdad, no es médico, es un psicoterapeuta."
Baina ez da medikua.,"Sí, pero eso no lo hace un doctor.",Pero no es médico.
"Caroline MacKenzie, gure medikua.","Caroline MacKenzie, nuestra doctora.","Caroline MacKenzie, nuestra médica."
"Medikuak ezin izan zuen jakin zergatik hil zen, beste biktima guztiekin ez bezala.","De todas las víctimas, ella fue reportada como la única causa de muerte inconclusa.","El médico no pudo saber por qué murió, a diferencia de todas las demás víctimas."
"13 edo 14 urte zituela, antidepresiboak eman zizkion medikuak.","Cuando tenía 13 o 14 años, la llevaron al médico y le dieron antidepresivos.","A la edad de 13 o 14 años, el médico le recetó antidepresivos."
Hura zaintzen zuen medikuak begietara so egin eta esan zidan:,El médico que la atendía me miró a los ojos y me dijo:,"El médico que lo cuidaba miró a los ojos y me dijo: ""Sigue así, estarás bien""."
Medikuak odol-azterketak egiten zizkion sarritan.,El médico le hacía análisis de sangre a menudo.,Los médicos le hacían análisis de sangre con frecuencia.
Medikua hemen al dago?,¿Se encuentra el doctor?,¿El médico está aquí?
-Medikua al zara?,- ¡No grite! - ¿Es el doctor o no?,-Sos médico?
Non dago medikua?,¿Dónde está el doctor?,¿No hay un médico?
Gure medikuak penizilinarik gabe hilko dela esan du.,¡El doctor dijo que sin penicilina...! ¡sus heridas se infectarían y se moriría!,Nuestro médico ha dicho que morirá sin penicilina.
"Esan medikuari zelak eragindako mina dudala, eta errezeta bat behar dudala Kortisona-pomada lortzeko.",Dile al doctor que tengo dolores. Y necesito una receta de crema de cortisona.,Habla con el médico y dile que tengo dolor por causa de la celiaquía y necesito una receta para obtener una pomada de cortisona.
Medikua sartzen da.,Y entra este doctor.,El médico entra.
"Orduan, medikuak:",Entonces este doctor le pregunta.,"En ese momento, el médico."
"Gogoan duzu, beste batzuk gelan zeudela, medikuak galdetu ote zizun ea hartu zenuen droga indargarririk?",¿Recuerdas que mientras esas personas estaban en la habitación un médico le preguntó si había tomado drogas para mejorar el rendimiento?,"Recuerdas, cuando otros estaban en la habitación, si el médico te preguntó si habías tomado alguna droga potente?"
- Medikuak esan zuen...,- El doctor dijo que...,Erreur
"Medikuak ez zuen hori esan, ez dakizu zer esan zuen ... Elkarrizketa pertsonal bat izan zelako.","Eso no es lo que dijo el doctor, tú no sabes lo que dijo... porque fue una conversación personal.",Erreur
Medikua naiz.,Soy médico.,Erreur
"Zu nire medikua zinen, ez?","Tú eras mi doctor, ¿no?",Erreur
- Taldeko medikua.,- Era el doctor del equipo.,Erreur
Taldeko medikua!,¡El doctor del equipo!,Erreur
Bennet Omalu doktorea izan da.... ...Ikerketa Medikuaren Bulegotik. Gaur erronka bota dio NFLri.,"Nos habló el Dr. Bennet Omalu de la Oficina del Investigador Médico, quien hoy retó a la Liga Profesional de Fútbol.",Erreur
"Esan. Zein dira zer aukera estatistiko zegoen zu, medikua ez baizik eta Bennet Omalu, AEBra etortzeko leku apurtu honetan amaitzeko eta bakarra izateko hau ikusten?","Dime ¿cuáles son las probabilidades estadísticas de que tú, no solo un doctor sino Bennet Omalu, viniera a EE.",Erreur
Steelersen medikua.,Médico de los Steelers.,Erreur
Aipatu futboleko gauzak medikuak ez diren hitzak.,Menciona cosas de fútbol términos que no sean médicos.,Erreur
"Ni ez naiz medikua, baina mediku txosten osoa hartu behar da kontuan.","Yo no soy médico, pero hay que considerar todo su expediente médico.",Erreur
Nire medikua lehendakariordearen emaztearen medikua da.,Mi médico es el mismo que trató a la esposa del vicepresidente.,Erreur
Medikuak esan dit ongi osatzen ari zarela.,El médico me dijo que te estás recuperando bien. Sí.,Erreur
Azterketa du medikuarenean.,Se hizo ver con el doctor.,Erreur
Zure anaia medikua da?,¿Es doctor?,Erreur
"Zuk daukazunaren termino medikua ""gaueko izerdia"" da.","Bueno, entonces, el término médico de lo que tienes es ""sudores nocturnos"".",Erreur
Zer esan dizu medikuak?,"Así que, um, ¿Qué dijo el doctor? Uh, no es nada.",Erreur
-Hainbat aldiz esan diet. Ipurtzuloko medikuarekin diru asko gastatu nuelako dela diote.,"Ya lo hice, muchas veces, pero dicen que si yo no gastara tanto en el médico del ano, habría fondos.",Erreur
Baina medikua neuk ordaindu nuen.,Pero yo pago mis médicos de mi bolsillo.,Erreur
"""Haurdun dauden emakumeek eta zorabiatzen direnek medikuaren baimena behar dute igotzeko.",Las mujeres embarazadas y los que sufren de mareos... deben consultar a un médico antes de subirse.,Erreur
Medikua da?,¿Es médico?,Erreur
"Fats, medikua behar duzu.","Fats, necesitas un terapeuta. Necesito sexo, Arf.",Erreur
Medikuarengana lagunduko lizuke... eskutik heldu erditzean.,Una habitación de madre e hijo.,Erreur
Eta zuk medikuak zaindu beharreko konfidentzialtasuna apurtu duzu.,Y tú has roto la confidencialidad médico-paciente.,Erreur
Beharbada medikuarengana itzuli beharko zenuke.,¿Quizás deberías volver con los doctores?,Erreur
Zerbait eman zizun medikuak?,¿Te recetaron algo en la unidad médica?,Erreur
Zer esan du medikuak?,¿Te sientes bien? ¿Qué dijo el médico?,Erreur
Nire ustez medikuak gorpuen aurrean geratzen dira... heriotzaren arrazoiak esaten. Baina jakin nahi nuke arrazoirik argiena isilean gordetzen duten.,"Me parece que los médicos se paran frente a los cadáveres declarando las causas de la muerte, pero me pregunto si no están omitiendo la causa más obvia de todas.",Erreur
"Ez baduzu jateko asmorik, medikuak esan du lo egiteko.","Si no vas a comer, el médico dice que duermas.",Erreur
-Baina medikuak?,Dice que su mujer está bien.,Erreur
"Programa ordaintzeko, Gizarte Segurantza aztertu behar dugu, laguntza medikua eta etekinak, goitik behera.","Para pagar el programa, tendremos que replantear Seguridad Social la asistencia médica y los beneficios radicalmente.",Erreur
- Medikua etorraraziko dut.,- Haré que venga el médico.,Erreur
- Medikua ikusi duzu?,- ¿Ha visto al médico?,Erreur
-Biluztu zarete medikuaren aurrean?,- ¿Estabas desnuda delante del doctor?,Erreur
Ez zen beharrezkoa medikuarengana joatea. Esan genizun.,No tenía sentido ir a que nos revisara un médico... eso fue lo que él me dijo.,Erreur
"Hementxe daukat Taber Hiztegi Medikua eta ez dute jasotzen ""tentsio sexual"" esapidea...",Tengo aquí el Diccionario Médico Taber y ellos no recogen el término tensión sexual...,Erreur
Medikua naiz eta ikertzailea.,Soy ambas cosas. Soy médico e investigador.,Erreur
Ez zara medikua.,No eres médico.,Erreur
Medikuak Henryrekin daude.,Los médicos están con Henry.,Erreur
"Zer esan du medikuak, maitea?","¿Qué dijo el médico, mi amor?",Erreur
Medikuak esan du osatuko dela?,¿El médico dijo que va a estar bien?,Erreur
Agian zegokidana baino denbora gehiago neureganatu dut baina uste dut liburuak merezi duela azterketa hori ebaluazio egiazko bat merezi du gizartean izango duen inpaktua aintzat hartuta ez bakarrik balio zientifiko ikaragarriagatik komunitate medikuaren mesederako baizik eta ekarpena ikaragarria delako.,Puede que haya abusado del tiempo que me correspondía porque creo que su libro merece tal escrutinio merece una evaluación sincera en virtud de su impacto en la sociedad no solo en cuanto al inmenso valor científico que le provee a la comunidad médica sino porque su contribución es inmensa.,Erreur
Bidaia bat azterketa medikuaren alor txundigarrienetako batetik.,Un viaje a través de uno de los campos más fascinantes del estudio médico.,Erreur
Medikuari deituko diot.,"Voy a llamar al médico, mamá.",Erreur
Medikuarenera eraman nian eta esan zian... haurra ezin dukela osasuntsu bizi giro horretan.,El Dr. Chadha dice que el bebé no puede estar sano ahí debido a su bronquitis.,Erreur
-Gure medikuak--,- Nuestro doctor... nuestro doctor nos dijo...,Erreur
Geratu medikuak alta eman arte. Ea puta aurkitzerik daukazun. Hemen pixa-usaina dago!,"Bueno, ve a ver si te dan el alta médica y trata de traer a la ramera.",Erreur
Medikuak esan zuen.,Eso dijo el médico.,Erreur
Hitz egin behar dugu. Medikuari hitzordu berria eskatzeko.,Deberíamos hablar si queremos reprogramar esa cita con el médico.,Erreur
Nor zen zure amaren medikua?,"Y tu madre, ¿quién era su médico?",Erreur
"Baina medikuarengana joan nintzen, bakarrik, behin baino gehiagotan.",Pensé que quizás... pero fui al médico sola. Tuve más de una.,Erreur
-Medikua?,Doctora.,Erreur
"Nire betebeharra, medikua naizen aldetik, pertsonei bizitzen laguntzea da.",Mi deber como médico es ayudar a las personas a vivir.,Erreur
"Sorosleak, medikuak, ebakuazio masiboak.","Socorristas, médicos, evacuación en masa.",Erreur
"Bere medikua gabe, bere ume pikortsurik gabe, hegazkin hau bezain goian ibiliko litzateke.",Sin su médico ni sus críos llenos de granos ella podría volar tan alto como este avión.,Erreur
Itzuli eta Etxe Zuriko medikua ikusi behar du.,Tiene que volver y ver al médico de la Casa Blanca.,Erreur
Gogor sakatzen du eta medikua behar nuen.,"Porque él había golpeado con tanta fuerza, que necesitaba un médico. Juez:",Erreur
Medikuak esan du asteak eraman behar dituela horrela.,El doctor dice que se estaba gestando hace semanas.,Erreur
"Medikuari deitu zioten, txikia, burusoila, betaurrekoekin eta baztertu egin ninduten gortina itxita.","Un doctor fue llamado. Bajo, calvo, con gafas, y fui excluido al colocar las cortinas.",Erreur
"Zelatatu egin nuen,  eta medikuari entzun nion xuxurlatzen:","Esperé, me oculté, como dijo Edgar. Y oí al doctor susurrar:",Erreur
Medikuak gelaxka batera eraman ninduen plakaz betea odolez zikindutako hesgailuz betea.,El doctor me llevó a una sala pequeña llena de trastes de peltre llenos de vendajes ensangrentados.,Erreur
Medikuak esan zuen sokaren azken muturra zuela eta listuta zuela.,El doctor dijo que era su fin.,Erreur
Medikuari arazoen berri eman behar zenion.,Debió decirle al doctor sobre los problemas.,Erreur
Medikuak.,Doctores.,Erreur
Medikuak?,- ¿Doctores?,Erreur
Asko kostatu zaigu topatzea aholkua baino gehiago emango digun medikua.,Ha sido difícil encontrar a un médico que compartiera algo más que su consejo.,Erreur
Zure senargai medikuak pobrezian utziko ditu zure umeak?,"Oh, ¿y tu novio doctor va a permitir que tus hijos se conviertan en mendigos?",Erreur
Medikua zara?,¿Es usted médico?,Erreur
Zure kidea medikua da proiektuan. Eta zu izango zinateke...,"Entonces, su compañero es el doctor de toda la operación, y eso la convierte a usted en...",Erreur
"Medikua zarenez, badakit dakizula...","Bueno, como doctora, estoy seguro de que sabe...",Erreur
Ez naiz medikua.,No soy doctora en Medicina.,Erreur
"Ez naiz medikua, eta sintomak lausoak dira baina malaria bada eta larri badago, baja mediku bat eskura dezake.","No soy médico, y los síntomas son vagos pero si es malaria y está grave, le pueden dar una baja médica.",Erreur
"Orduan, nire medikuak sekretuan intseminatu ninduen Billen esperma arrastoa erabiliz, eta zeruko opari baten gisa, funtzionatu egin zuen.","Así que hice que mi médico me inseminara en secreto usando... lo que quedaba del esperma de Bill, y... como un regalo del cielo, funcionó.",Erreur
"Hitzematen dizut, Keith medikua izateak ez duela arintzen nire trebetasuna ulertzeko sufrimendu mota hau.","Le prometo, Keith que ser médico no mitiga mi habilidad para entender este tipo de sufrimiento.",Erreur
"Maitea, bera medikua da zinema izarraren aurpegia duena eta Graziako jainkoaren gorputza.","Cariño, él es médico con cara de estrella de cine y el cuerpo de un dios griego.",Erreur
"Zu medikua zara, ez?","Usted es doctor, ¿verdad?",Erreur
Zer pentsatuko dute entrenatzaile sendo eta handi bati buruz medikuan txerto bat jarri behar diotenean begiak itxi eta txistu egin behar badu?,"Es decir, ¿qué van a pensar? Este entrenador de fútbol, grande, duro que cada vez que va al médico tiene que cerrar los ojos y silbar una canción cuando le ponen una inyección.",Erreur
Tori. Zu zara medikua.,Toma.,Erreur
- Medikua da.,- Es doctor.,Erreur
Nire senarra medikua da.,Mi marido es médico.,Erreur
Nire medikua berarekin dago?,- ¿La está atendiendo mi galeno?,Erreur
Eskerrak norbaitek aurkitu... eta medikuarengana eraman ninduela.,Quiso la suerte que me encontrase alguien y me llevase a un galeno.,Erreur
Zuk ere medikua izan nahi duzu?,¿Usted también quiere ser doctora?,Erreur
"(NICOLE) Batzuek guraso medikuak dituzte, laguntzen dietenak.","Algunos, los padres son médicos y ayudan.",Erreur
"Ez naiz medikua, baina arropa garbitzen diot, janaria prestatzen.","No soy médica, pero... La cuido, preparo la comida, hago muchas cosas por ella.",Erreur
"(MEDIKUA) Ahul samarra, baina ez da kezkagarria.","Es muy baja, pero... nada alarmante.",Erreur
(MEDIKUA) -Eser zaitez.,"- Nesrine, ¿se puede sentar aquí?",Erreur
"(MEDIKUA) Landareak aginduko dizkizut, lasaiago egon zaitezen. (MEDIKUA) Eta bitaminak ere bai.","Le voy a recetar algo para relajarse, y vitaminas, también.",Erreur
(MEDIKUA),- No.,Erreur
(MEDIKUA),- Tome.,Erreur
(MEDIKUA) Eutsi! Gogotik saiatu.,Resiste y es dedicada.,Erreur
"(MEDIKUA) Buruz ikasten baldin badakizu, lehen urtea aprobatuko duzu.","Y sabe memorizar bien, ya pasó el primer año.",Erreur
"(MEDIKUA) Asko ikasi behar da buruz, baina ez dago ezinezkorik.","Hay que memorizar mucho, pero nada es imposible.",Erreur
(MEDIKUA) Niretzat ere oso gogorra izan zen bost hilabetetan.,Para mí también los cinco primeros meses fueron duros.,Erreur
"(MEDIKUA) Pixka bat deprimitzen zara, baina normala da. Buruak eutsi behar dio orduan.",La depresión comienza a aparecer pero... es justamente con la cabeza que es necesario resistir.,Erreur
(MEDIKUA) Ez ezazu utzi!,"- No abandone. - Sí, sí.",Erreur
(MEDIKUA) -Zatoz. Tentsioa hartuko dizut?,- ¿Vemos su presión?,Erreur
(MEDIKUA) Urduri samar ikusten zaitut zu ere.,"- Parece un poco tensa, también.",Erreur
(MEDIKUA) Eser zaitez.,"- Sí. Remangue la manga, de pie.",Erreur
(MEDIKUA) Hara! Ontzi komunikatuak zarete zuek.,Las dos son vasos comunicantes.,Erreur
(MEDIKUA) Batarena bestearengana doa:,Una pasa para la otra.,Erreur
(MEDIKUA) -Hori da.,- Eso mismo.,Erreur
(MEDIKUA),Más descanso.,Erreur
"(MEDIKUA) Ez dakit zer gehiago egin dezakedan, Fatima.","No veo nada más que se pueda hacer, Fatima.",Erreur
(MEDIKUA) Zazpi hilabetetik gora egin dituzu.,Ya hace más de 5 meses.,Erreur
"Badakit, baina... (MEDIKUA) Ezin dizut luzatu, erradiografian ez baita ezer ageri.","Yo sé, más... No puedo prolongar la licencia pues ellos tendrán las radiografías. ¿Entiende?",Erreur
"(MEDIKUA) Ez dago ez hausturarik, ez urraturik.","No hay fractura, ni fisuras.",Erreur
"MEDIKUA) Fatima, sinesten dizut. Baina ezin dut gauza handirik egin.","Fatima, yo le creo, pero no puedo hacer nada más.",Erreur
(MEDIKUA) Orain lan-medikuarengana joan behar duzu.,Ahora habrá que ver el trabajo de los médicos.,Erreur
(MEDIKUA) Pierre-Béniteko medikuak luzatuko dizu edo ez.,Y el médico especializado podrá autorizar o no.,Erreur
"Bai, baina... (MEDIKUA) Baduzu telefonoa.","- Sí, pero... - Tiene el número de teléfono.",Erreur
"(LAN-MEDIKUA) Erradiografiak ikusita, ezin dizut gaixoaldia gehiago luzatu.","Considerando las radiografías, la licencia no se justifica más.",Erreur
"(LAN-MEDIKUA) Baina, zeharbidez, hilabeteko geldialdia egingo dizut.","Pero, encontraremos una manera. Le daré otro mes y después irá a ver a la Dra. Keltoum Merbaki.",Erreur
(LAN-MEDIKUA) Eta gutun bat egingo dizut Mebarki doktorearentzat.,"Está en la calle Masnot, 60.",Erreur
(LAN-MEDIKUA) Zoaz astelehenean.,"La va a ver el Lunes. Ella habla Árabe, veremos lo que pasa.",Erreur
Gure New Yorkeko medikuari bidal diezazkiokezu.,Entendido.,Erreur
Esan dizuet gure medikuari bidaltzeko.,No voy a pagar por nada más...,Erreur
Medikua zara?,"Lo siento, ¿es usted médico? No, señor, no lo soy.",Erreur
Nire emaztea medikua da.,Mi mujer es médico. Estaré bien.,Erreur
Erregearen medikua berehala!,"¡El médico del rey, inmediatamente!",Erreur
Zure medikua etorri da.,Vuestro médico está aquí.,Erreur
Joan nire medikuaren bila!,Trae a mi galeno.,Erreur
Abisatu medikua heltzen denean.,Avisadme cuando el galeno haya llegado.,Erreur
Igual medikua ikusi beharko duzu.,Quizás vea un médico.,Erreur
Medikuak  nire gaixotasuna sendatzen zuen.,El medico... curó mi enfermedad.,Erreur
Medikua?,¿Una médica?,Erreur
Baina ni medikua naizenez... badakit nahi gabeko tik bat edo gasen ondorioa izan dela.,"Pero, como soy médica, sé que seguramente fue un reflejo involuntario o un gas.",Erreur
Medikua. Pilulak lortzeko aukera.,Acceso a píldoras.,Erreur
Medikua naiz eta oso nekatuta nago.,Soy médica y estoy muy cansada.,Erreur
Zu medikua izatea zoragarria da.,Me fascina que seas médica.,Erreur
Medikua iritsi da.,Ha llegado el médico.,Erreur
Joan kapitainarekin medikuarengana.,Seguid al capitán hasta la zona médica.,Erreur
Medikuaren gorpua aurkitu dute duela ordubete.,Han encontrado el cadáver de su médico hace una hora.,Erreur
"Rone, eremu medikuan behar zaitugu.","Rone, te necesitamos en el área médica.",Erreur
"Lasterka egin herrira, eta ekarri medikua.","Ve al pueblo por el doctor. Rápido, ve.",Erreur
Zoaz medikuarengana.,- Deberías ver al médico.,Erreur
"Zure emaztea, zure ama, zure aita, zure seme-alabak... zure arreba, zure anaia... zure izebak, lehengusu-lehengusinak... zure lankideak, nagusiak, laneko lagunak... errugbi taldekoak, Rotary klubekoak... autoa erosi zenion morroia, medikua... dentista, Amberren pianoko maisua.","Tu esposa, tu madre, tu padre, tus hijos. Tu hermana, tu hermano. Tus tías, tus primos.",Erreur
- Medikua al zara?,- ¿Usted es médico?,Erreur
"Medikua da, ulertuko du.","Es médica, podría entenderlo.",Erreur
"- Utzi, medikua naiz.","- Permítame, soy médica.",Erreur
"Medikua naiz, ez kezkatu.","Soy médico, no se preocupe.",Erreur
"Lasai, medikua naiz.","Tranquilícese, soy médica.",Erreur
- Utzi medikuari lanean!,- ¡Deja hacer a la doctora!,Erreur
"Ziurtagiri medikoa behar dut, Kontseilu Medikuarentzat.",Necesito un certificado médico para el Consejo Médico.,Erreur
Departamenduak laguntzen du Europar Batasuneko medikuak ekartzen.,El departamento también colabora instalando médicos de la U.E.,Erreur
"Urgentzia baterako, guardiako medikuak 40 km egin behar ditu","En una urgencia, el médico de guardia debe hacer 40 Km.",Erreur
"Bravo November 45, Crow Wood parkean nago... Balizko suizida baten heriotza berretsi du anbulantziako medikuak.","Bravo noviembre 45, Estoy en Crow Wood Park, sospecha de suicidio ha confirmado la muerte por el paramédico.",Erreur
Esan medikuak eta poliziak behar ditugula.,Que envíen personal médico y a la policía.,Erreur
Medikuak eta adituak dauzkagu.,"Contamos con médicos, comunicaciones, expertos en logística.",Erreur
Medikua naiz.,Soy doctor.,Erreur
Medikua. Medikua.,Soy el médico. ¿Médico?,Erreur
- Medikua. Ez.,- Trae al médico.,Erreur
ERABILI MEDIKUAK ESANDAKOARI JARRAIKI.,USAR SOLO SEGÚN LAS INSTRUCCIONES DE SU MÉDICO,Erreur
- Ez gara medikuak.,- No somos médicos.,Erreur
Medikuak ez du azterketa bukatu. Ezin dizut pasatzen utzi...,"El doctor no ha terminado de examinarla, no puedo dejarla entrar.",Erreur
Medikuaren agindua da.,Órdenes del médico.,Erreur
Hau... Medikua al zara?,¿Tú eres... ¿Eres doctora?,Erreur
"Kino, medikua behar du.","Kino, necesita un médico.",Erreur
JERICHOKO KONDERRIKO AUZITEGI -MEDIKUA R. ANWAR DOKTOREA,MÉDICO FORENSE DEL CONDADO DE JERICÓ DOCTOR R. ANWAR,Erreur
"Argia beharko luke, eta non moztu jakin, baina ez luke medikua edo kirurgialaria izan behar.","Necesitaría mucha luz y saber dónde cortar, pero no tendría que ser médico ni cirujano.",Erreur
Medikua.,El médico.,Erreur
Medikua eta biok honen bila genbiltzan.,El buen doctor y yo lo buscábamos.,Erreur
