Basque (eu),Spanish (es)
Medikuak aitari esan zion... entrenatzaile izatearen estresak hil egingo zuela.,Los médicos le dijeron a mi padre que el estrés del entrenamiento lo mataría.
-Medikuarekin hitzordua nuen.,Tenía una cita con el doctor.
Medikuak esan dit.,Tengo un aviso del Doc.
"Medikuak esan zuen: ""Ez izorratu zuen bizitza 10 minutuko plazerrarengatik"".","El Doctor dijo: ""Así que no arruinar su vida durante 10 minutos de placer"
Medikuak hil zaitzake.,El médico te puede matar.
Harper medikuak ikusiko dizu bihar zauria.,Deja que el Dr. Harper te vea eso mañana.
-Ez mugitu medikua heldu arte!,- ¡No lo muevan!
Meg Ryanen medikua ekarriko diogu.,Usaremos el cirujano de Meg Ryan. ¿Qué importa?
Zeu zara medikua?,"¿Qué, eres un médico?"
Medikuaren laguntza behar du.,Ella necesita atención médica.
Laguntza medikua behar duen neska bat daukazue ziegan.,Está encerrando en una celda a una niña que necesita atención médica.
Medikua!,¡Médico!
Hildakoak? Medikua zara?,¿Eres doctor?
Auzitegiko medikuak esango du hori.,Las pruebas forenses lo dirán.
Baina jada ez da medikua.,Pero ya no es médico.
Hori egiteko prest dagoen medikuak oso berezia izan behar du.,Es muy raro que un médico haga eso.
"Kontratenorrak edo baritonoak izango zarete; batzuk, dentistak... edo medikuak.","Algunos de ustedes se convierten en altos, otros de ustedes en barítonos, otros se convierten en dentistas. Médicos."
Medikuak esan zuen aire garbia arnastu behar nuela bolada batez.,El médico me dijo que debía ir a un sitio con aire limpio.
-Medikua!,- ¿Qué...?
"Zu medikua eta gu pazienteak bagina, zein izango litzateke diagnostikoa?",¿cuál es su diagnóstico?
Medikuak deitu dit telefonoz odol analisien emaitzak emateko.,Era mi doctora al teléfono con los resultados de un análisis de sangre.
"Normalean hala egiten dut, baina hitzordua nuen medikuarekin.","Normalmente, lo haría, pero tenía una cita con el doctor..."
Medikuarekin?,- ¿Cita con el doctor?
Zergatik joan zara medikuarenera?,¿Por qué vas a ir al doctor?
Medikuaz baliatu da zure emaztea ilusionatzeko.,Utilizó este médico de lujo para obtener su esposa de vuelta en el tren del bebé
Medikua da eta nobelista ospetsua. Tira...,Resulta que ella es un médico y a celebran novelista me refiero
Medikuak esan dio agian ez dela ospitaletik aterako.,El doctor dijo que quizá nunca deje el hospital.
Aita medikua izan zen.,Mi padre fue doctor.
"Eraman medikuarengana, orain.","Llévenlo al doctor, ahora."
Medikuarengana eramango zaitut!,¡Tenemos que llevarlo a un doctor!
"Medikuak etorri, eta makinak ekarri zituzten.","Entonces más médicos llegaron corriendo, y trajeron a más máquinas y ..."
"Jimmyk dio aurten itzuliko dela, baina medikua ez zegoen ziur.","Jimmy dice que vuelve este año, pero el doctor no parecía seguro."
"Jauna, nahi duzu medikuari deitzea?","Señor, ¿quiere que llame a su médico?"
Nahi duzu medikuari deitzea?,¿Quiere que llame a su médico?
Faktura medikua ordaindu dezaket edo afaltzera etorri.,Puedo pagar la cuenta del hospital o ir donde Ricky. ¿Cuál quieres?
Deitu medikua!,¡Consigan un doctor!
Hargek esan digu nahiko ongi doakizula zure medikuarekin.,"Harge nos dijo que te estabas llevando muy bien con tu doctor, Carol."
"Egia, ez da medikua, psikoterapeuta bat da.","Bueno, de hecho no es un doctor sino un psicoterapeuta."
Baina ez da medikua.,"Sí, pero eso no lo hace un doctor."
"Caroline MacKenzie, gure medikua.","Caroline MacKenzie, nuestra doctora."
"Medikuak ezin izan zuen jakin zergatik hil zen, beste biktima guztiekin ez bezala.","De todas las víctimas, ella fue reportada como la única causa de muerte inconclusa."
"13 edo 14 urte zituela, antidepresiboak eman zizkion medikuak.","Cuando tenía 13 o 14 años, la llevaron al médico y le dieron antidepresivos."
Hura zaintzen zuen medikuak begietara so egin eta esan zidan:,El médico que la atendía me miró a los ojos y me dijo:
Medikuak odol-azterketak egiten zizkion sarritan.,El médico le hacía análisis de sangre a menudo.
Medikua hemen al dago?,¿Se encuentra el doctor?
-Medikua al zara?,- ¡No grite! - ¿Es el doctor o no?
Non dago medikua?,¿Dónde está el doctor?
Gure medikuak penizilinarik gabe hilko dela esan du.,¡El doctor dijo que sin penicilina...! ¡sus heridas se infectarían y se moriría!
"Esan medikuari zelak eragindako mina dudala, eta errezeta bat behar dudala Kortisona-pomada lortzeko.",Dile al doctor que tengo dolores. Y necesito una receta de crema de cortisona.
Medikua sartzen da.,Y entra este doctor.
"Orduan, medikuak:",Entonces este doctor le pregunta.
"Gogoan duzu, beste batzuk gelan zeudela, medikuak galdetu ote zizun ea hartu zenuen droga indargarririk?",¿Recuerdas que mientras esas personas estaban en la habitación un médico le preguntó si había tomado drogas para mejorar el rendimiento?
- Medikuak esan zuen...,- El doctor dijo que...
"Medikuak ez zuen hori esan, ez dakizu zer esan zuen ... Elkarrizketa pertsonal bat izan zelako.","Eso no es lo que dijo el doctor, tú no sabes lo que dijo... porque fue una conversación personal."
Medikua naiz.,Soy médico.
"Zu nire medikua zinen, ez?","Tú eras mi doctor, ¿no?"
- Taldeko medikua.,- Era el doctor del equipo.
Taldeko medikua!,¡El doctor del equipo!
Bennet Omalu doktorea izan da.... ...Ikerketa Medikuaren Bulegotik. Gaur erronka bota dio NFLri.,"Nos habló el Dr. Bennet Omalu de la Oficina del Investigador Médico, quien hoy retó a la Liga Profesional de Fútbol."
"Esan. Zein dira zer aukera estatistiko zegoen zu, medikua ez baizik eta Bennet Omalu, AEBra etortzeko leku apurtu honetan amaitzeko eta bakarra izateko hau ikusten?","Dime ¿cuáles son las probabilidades estadísticas de que tú, no solo un doctor sino Bennet Omalu, viniera a EE."
Steelersen medikua.,Médico de los Steelers.
Aipatu futboleko gauzak medikuak ez diren hitzak.,Menciona cosas de fútbol términos que no sean médicos.
"Ni ez naiz medikua, baina mediku txosten osoa hartu behar da kontuan.","Yo no soy médico, pero hay que considerar todo su expediente médico."
Nire medikua lehendakariordearen emaztearen medikua da.,Mi médico es el mismo que trató a la esposa del vicepresidente.
Medikuak esan dit ongi osatzen ari zarela.,El médico me dijo que te estás recuperando bien. Sí.
Azterketa du medikuarenean.,Se hizo ver con el doctor.
Zure anaia medikua da?,¿Es doctor?
"Zuk daukazunaren termino medikua ""gaueko izerdia"" da.","Bueno, entonces, el término médico de lo que tienes es ""sudores nocturnos""."
Zer esan dizu medikuak?,"Así que, um, ¿Qué dijo el doctor? Uh, no es nada."
-Hainbat aldiz esan diet. Ipurtzuloko medikuarekin diru asko gastatu nuelako dela diote.,"Ya lo hice, muchas veces, pero dicen que si yo no gastara tanto en el médico del ano, habría fondos."
Baina medikua neuk ordaindu nuen.,Pero yo pago mis médicos de mi bolsillo.
"""Haurdun dauden emakumeek eta zorabiatzen direnek medikuaren baimena behar dute igotzeko.",Las mujeres embarazadas y los que sufren de mareos... deben consultar a un médico antes de subirse.
Medikua da?,¿Es médico?
"Fats, medikua behar duzu.","Fats, necesitas un terapeuta. Necesito sexo, Arf."
Medikuarengana lagunduko lizuke... eskutik heldu erditzean.,Una habitación de madre e hijo.
Eta zuk medikuak zaindu beharreko konfidentzialtasuna apurtu duzu.,Y tú has roto la confidencialidad médico-paciente.
Beharbada medikuarengana itzuli beharko zenuke.,¿Quizás deberías volver con los doctores?
Zerbait eman zizun medikuak?,¿Te recetaron algo en la unidad médica?
Zer esan du medikuak?,¿Te sientes bien? ¿Qué dijo el médico?
Nire ustez medikuak gorpuen aurrean geratzen dira... heriotzaren arrazoiak esaten. Baina jakin nahi nuke arrazoirik argiena isilean gordetzen duten.,"Me parece que los médicos se paran frente a los cadáveres declarando las causas de la muerte, pero me pregunto si no están omitiendo la causa más obvia de todas."
"Ez baduzu jateko asmorik, medikuak esan du lo egiteko.","Si no vas a comer, el médico dice que duermas."
-Baina medikuak?,Dice que su mujer está bien.
"Programa ordaintzeko, Gizarte Segurantza aztertu behar dugu, laguntza medikua eta etekinak, goitik behera.","Para pagar el programa, tendremos que replantear Seguridad Social la asistencia médica y los beneficios radicalmente."
- Medikua etorraraziko dut.,- Haré que venga el médico.
- Medikua ikusi duzu?,- ¿Ha visto al médico?
-Biluztu zarete medikuaren aurrean?,- ¿Estabas desnuda delante del doctor?
Ez zen beharrezkoa medikuarengana joatea. Esan genizun.,No tenía sentido ir a que nos revisara un médico... eso fue lo que él me dijo.
"Hementxe daukat Taber Hiztegi Medikua eta ez dute jasotzen ""tentsio sexual"" esapidea...",Tengo aquí el Diccionario Médico Taber y ellos no recogen el término tensión sexual...
Medikua naiz eta ikertzailea.,Soy ambas cosas. Soy médico e investigador.
Ez zara medikua.,No eres médico.
Medikuak Henryrekin daude.,Los médicos están con Henry.
"Zer esan du medikuak, maitea?","¿Qué dijo el médico, mi amor?"
Medikuak esan du osatuko dela?,¿El médico dijo que va a estar bien?
Agian zegokidana baino denbora gehiago neureganatu dut baina uste dut liburuak merezi duela azterketa hori ebaluazio egiazko bat merezi du gizartean izango duen inpaktua aintzat hartuta ez bakarrik balio zientifiko ikaragarriagatik komunitate medikuaren mesederako baizik eta ekarpena ikaragarria delako.,Puede que haya abusado del tiempo que me correspondía porque creo que su libro merece tal escrutinio merece una evaluación sincera en virtud de su impacto en la sociedad no solo en cuanto al inmenso valor científico que le provee a la comunidad médica sino porque su contribución es inmensa.
Bidaia bat azterketa medikuaren alor txundigarrienetako batetik.,Un viaje a través de uno de los campos más fascinantes del estudio médico.
Medikuari deituko diot.,"Voy a llamar al médico, mamá."
Medikuarenera eraman nian eta esan zian... haurra ezin dukela osasuntsu bizi giro horretan.,El Dr. Chadha dice que el bebé no puede estar sano ahí debido a su bronquitis.
-Gure medikuak--,- Nuestro doctor... nuestro doctor nos dijo...
Geratu medikuak alta eman arte. Ea puta aurkitzerik daukazun. Hemen pixa-usaina dago!,"Bueno, ve a ver si te dan el alta médica y trata de traer a la ramera."
Medikuak esan zuen.,Eso dijo el médico.
Hitz egin behar dugu. Medikuari hitzordu berria eskatzeko.,Deberíamos hablar si queremos reprogramar esa cita con el médico.
Nor zen zure amaren medikua?,"Y tu madre, ¿quién era su médico?"
"Baina medikuarengana joan nintzen, bakarrik, behin baino gehiagotan.",Pensé que quizás... pero fui al médico sola. Tuve más de una.
-Medikua?,Doctora.
"Nire betebeharra, medikua naizen aldetik, pertsonei bizitzen laguntzea da.",Mi deber como médico es ayudar a las personas a vivir.
"Sorosleak, medikuak, ebakuazio masiboak.","Socorristas, médicos, evacuación en masa."
"Bere medikua gabe, bere ume pikortsurik gabe, hegazkin hau bezain goian ibiliko litzateke.",Sin su médico ni sus críos llenos de granos ella podría volar tan alto como este avión.
Itzuli eta Etxe Zuriko medikua ikusi behar du.,Tiene que volver y ver al médico de la Casa Blanca.
Gogor sakatzen du eta medikua behar nuen.,"Porque él había golpeado con tanta fuerza, que necesitaba un médico. Juez:"
Medikuak esan du asteak eraman behar dituela horrela.,El doctor dice que se estaba gestando hace semanas.
"Medikuari deitu zioten, txikia, burusoila, betaurrekoekin eta baztertu egin ninduten gortina itxita.","Un doctor fue llamado. Bajo, calvo, con gafas, y fui excluido al colocar las cortinas."
"Zelatatu egin nuen,  eta medikuari entzun nion xuxurlatzen:","Esperé, me oculté, como dijo Edgar. Y oí al doctor susurrar:"
Medikuak gelaxka batera eraman ninduen plakaz betea odolez zikindutako hesgailuz betea.,El doctor me llevó a una sala pequeña llena de trastes de peltre llenos de vendajes ensangrentados.
Medikuak esan zuen sokaren azken muturra zuela eta listuta zuela.,El doctor dijo que era su fin.
Medikuari arazoen berri eman behar zenion.,Debió decirle al doctor sobre los problemas.
Medikuak.,Doctores.
Medikuak?,- ¿Doctores?
Asko kostatu zaigu topatzea aholkua baino gehiago emango digun medikua.,Ha sido difícil encontrar a un médico que compartiera algo más que su consejo.
Zure senargai medikuak pobrezian utziko ditu zure umeak?,"Oh, ¿y tu novio doctor va a permitir que tus hijos se conviertan en mendigos?"
Medikua zara?,¿Es usted médico?
Zure kidea medikua da proiektuan. Eta zu izango zinateke...,"Entonces, su compañero es el doctor de toda la operación, y eso la convierte a usted en..."
"Medikua zarenez, badakit dakizula...","Bueno, como doctora, estoy seguro de que sabe..."
Ez naiz medikua.,No soy doctora en Medicina.
"Ez naiz medikua, eta sintomak lausoak dira baina malaria bada eta larri badago, baja mediku bat eskura dezake.","No soy médico, y los síntomas son vagos pero si es malaria y está grave, le pueden dar una baja médica."
"Orduan, nire medikuak sekretuan intseminatu ninduen Billen esperma arrastoa erabiliz, eta zeruko opari baten gisa, funtzionatu egin zuen.","Así que hice que mi médico me inseminara en secreto usando... lo que quedaba del esperma de Bill, y... como un regalo del cielo, funcionó."
"Hitzematen dizut, Keith medikua izateak ez duela arintzen nire trebetasuna ulertzeko sufrimendu mota hau.","Le prometo, Keith que ser médico no mitiga mi habilidad para entender este tipo de sufrimiento."
"Maitea, bera medikua da zinema izarraren aurpegia duena eta Graziako jainkoaren gorputza.","Cariño, él es médico con cara de estrella de cine y el cuerpo de un dios griego."
"Zu medikua zara, ez?","Usted es doctor, ¿verdad?"
Zer pentsatuko dute entrenatzaile sendo eta handi bati buruz medikuan txerto bat jarri behar diotenean begiak itxi eta txistu egin behar badu?,"Es decir, ¿qué van a pensar? Este entrenador de fútbol, grande, duro que cada vez que va al médico tiene que cerrar los ojos y silbar una canción cuando le ponen una inyección."
Tori. Zu zara medikua.,Toma.
- Medikua da.,- Es doctor.
Nire senarra medikua da.,Mi marido es médico.
Nire medikua berarekin dago?,- ¿La está atendiendo mi galeno?
Eskerrak norbaitek aurkitu... eta medikuarengana eraman ninduela.,Quiso la suerte que me encontrase alguien y me llevase a un galeno.
Zuk ere medikua izan nahi duzu?,¿Usted también quiere ser doctora?
"(NICOLE) Batzuek guraso medikuak dituzte, laguntzen dietenak.","Algunos, los padres son médicos y ayudan."
"Ez naiz medikua, baina arropa garbitzen diot, janaria prestatzen.","No soy médica, pero... La cuido, preparo la comida, hago muchas cosas por ella."
"(MEDIKUA) Ahul samarra, baina ez da kezkagarria.","Es muy baja, pero... nada alarmante."
(MEDIKUA) -Eser zaitez.,"- Nesrine, ¿se puede sentar aquí?"
"(MEDIKUA) Landareak aginduko dizkizut, lasaiago egon zaitezen. (MEDIKUA) Eta bitaminak ere bai.","Le voy a recetar algo para relajarse, y vitaminas, también."
(MEDIKUA),- No.
(MEDIKUA),- Tome.
(MEDIKUA) Eutsi! Gogotik saiatu.,Resiste y es dedicada.
"(MEDIKUA) Buruz ikasten baldin badakizu, lehen urtea aprobatuko duzu.","Y sabe memorizar bien, ya pasó el primer año."
"(MEDIKUA) Asko ikasi behar da buruz, baina ez dago ezinezkorik.","Hay que memorizar mucho, pero nada es imposible."
(MEDIKUA) Niretzat ere oso gogorra izan zen bost hilabetetan.,Para mí también los cinco primeros meses fueron duros.
"(MEDIKUA) Pixka bat deprimitzen zara, baina normala da. Buruak eutsi behar dio orduan.",La depresión comienza a aparecer pero... es justamente con la cabeza que es necesario resistir.
(MEDIKUA) Ez ezazu utzi!,"- No abandone. - Sí, sí."
(MEDIKUA) -Zatoz. Tentsioa hartuko dizut?,- ¿Vemos su presión?
(MEDIKUA) Urduri samar ikusten zaitut zu ere.,"- Parece un poco tensa, también."
(MEDIKUA) Eser zaitez.,"- Sí. Remangue la manga, de pie."
(MEDIKUA) Hara! Ontzi komunikatuak zarete zuek.,Las dos son vasos comunicantes.
(MEDIKUA) Batarena bestearengana doa:,Una pasa para la otra.
(MEDIKUA) -Hori da.,- Eso mismo.
(MEDIKUA),Más descanso.
"(MEDIKUA) Ez dakit zer gehiago egin dezakedan, Fatima.","No veo nada más que se pueda hacer, Fatima."
(MEDIKUA) Zazpi hilabetetik gora egin dituzu.,Ya hace más de 5 meses.
"Badakit, baina... (MEDIKUA) Ezin dizut luzatu, erradiografian ez baita ezer ageri.","Yo sé, más... No puedo prolongar la licencia pues ellos tendrán las radiografías. ¿Entiende?"
"(MEDIKUA) Ez dago ez hausturarik, ez urraturik.","No hay fractura, ni fisuras."
"MEDIKUA) Fatima, sinesten dizut. Baina ezin dut gauza handirik egin.","Fatima, yo le creo, pero no puedo hacer nada más."
(MEDIKUA) Orain lan-medikuarengana joan behar duzu.,Ahora habrá que ver el trabajo de los médicos.
(MEDIKUA) Pierre-Béniteko medikuak luzatuko dizu edo ez.,Y el médico especializado podrá autorizar o no.
"Bai, baina... (MEDIKUA) Baduzu telefonoa.","- Sí, pero... - Tiene el número de teléfono."
"(LAN-MEDIKUA) Erradiografiak ikusita, ezin dizut gaixoaldia gehiago luzatu.","Considerando las radiografías, la licencia no se justifica más."
"(LAN-MEDIKUA) Baina, zeharbidez, hilabeteko geldialdia egingo dizut.","Pero, encontraremos una manera. Le daré otro mes y después irá a ver a la Dra. Keltoum Merbaki."
(LAN-MEDIKUA) Eta gutun bat egingo dizut Mebarki doktorearentzat.,"Está en la calle Masnot, 60."
(LAN-MEDIKUA) Zoaz astelehenean.,"La va a ver el Lunes. Ella habla Árabe, veremos lo que pasa."
Gure New Yorkeko medikuari bidal diezazkiokezu.,Entendido.
Esan dizuet gure medikuari bidaltzeko.,No voy a pagar por nada más...
Medikua zara?,"Lo siento, ¿es usted médico? No, señor, no lo soy."
Nire emaztea medikua da.,Mi mujer es médico. Estaré bien.
Erregearen medikua berehala!,"¡El médico del rey, inmediatamente!"
Zure medikua etorri da.,Vuestro médico está aquí.
Joan nire medikuaren bila!,Trae a mi galeno.
Abisatu medikua heltzen denean.,Avisadme cuando el galeno haya llegado.
Igual medikua ikusi beharko duzu.,Quizás vea un médico.
Medikuak  nire gaixotasuna sendatzen zuen.,El medico... curó mi enfermedad.
Medikua?,¿Una médica?
Baina ni medikua naizenez... badakit nahi gabeko tik bat edo gasen ondorioa izan dela.,"Pero, como soy médica, sé que seguramente fue un reflejo involuntario o un gas."
Medikua. Pilulak lortzeko aukera.,Acceso a píldoras.
Medikua naiz eta oso nekatuta nago.,Soy médica y estoy muy cansada.
Zu medikua izatea zoragarria da.,Me fascina que seas médica.
Medikua iritsi da.,Ha llegado el médico.
Joan kapitainarekin medikuarengana.,Seguid al capitán hasta la zona médica.
Medikuaren gorpua aurkitu dute duela ordubete.,Han encontrado el cadáver de su médico hace una hora.
"Rone, eremu medikuan behar zaitugu.","Rone, te necesitamos en el área médica."
"Lasterka egin herrira, eta ekarri medikua.","Ve al pueblo por el doctor. Rápido, ve."
Zoaz medikuarengana.,- Deberías ver al médico.
"Zure emaztea, zure ama, zure aita, zure seme-alabak... zure arreba, zure anaia... zure izebak, lehengusu-lehengusinak... zure lankideak, nagusiak, laneko lagunak... errugbi taldekoak, Rotary klubekoak... autoa erosi zenion morroia, medikua... dentista, Amberren pianoko maisua.","Tu esposa, tu madre, tu padre, tus hijos. Tu hermana, tu hermano. Tus tías, tus primos."
- Medikua al zara?,- ¿Usted es médico?
"Medikua da, ulertuko du.","Es médica, podría entenderlo."
"- Utzi, medikua naiz.","- Permítame, soy médica."
"Medikua naiz, ez kezkatu.","Soy médico, no se preocupe."
"Lasai, medikua naiz.","Tranquilícese, soy médica."
- Utzi medikuari lanean!,- ¡Deja hacer a la doctora!
"Ziurtagiri medikoa behar dut, Kontseilu Medikuarentzat.",Necesito un certificado médico para el Consejo Médico.
Departamenduak laguntzen du Europar Batasuneko medikuak ekartzen.,El departamento también colabora instalando médicos de la U.E.
"Urgentzia baterako, guardiako medikuak 40 km egin behar ditu","En una urgencia, el médico de guardia debe hacer 40 Km."
"Bravo November 45, Crow Wood parkean nago... Balizko suizida baten heriotza berretsi du anbulantziako medikuak.","Bravo noviembre 45, Estoy en Crow Wood Park, sospecha de suicidio ha confirmado la muerte por el paramédico."
Esan medikuak eta poliziak behar ditugula.,Que envíen personal médico y a la policía.
Medikuak eta adituak dauzkagu.,"Contamos con médicos, comunicaciones, expertos en logística."
Medikua naiz.,Soy doctor.
Medikua. Medikua.,Soy el médico. ¿Médico?
- Medikua. Ez.,- Trae al médico.
ERABILI MEDIKUAK ESANDAKOARI JARRAIKI.,USAR SOLO SEGÚN LAS INSTRUCCIONES DE SU MÉDICO
- Ez gara medikuak.,- No somos médicos.
Medikuak ez du azterketa bukatu. Ezin dizut pasatzen utzi...,"El doctor no ha terminado de examinarla, no puedo dejarla entrar."
Medikuaren agindua da.,Órdenes del médico.
Hau... Medikua al zara?,¿Tú eres... ¿Eres doctora?
"Kino, medikua behar du.","Kino, necesita un médico."
JERICHOKO KONDERRIKO AUZITEGI -MEDIKUA R. ANWAR DOKTOREA,MÉDICO FORENSE DEL CONDADO DE JERICÓ DOCTOR R. ANWAR
"Argia beharko luke, eta non moztu jakin, baina ez luke medikua edo kirurgialaria izan behar.","Necesitaría mucha luz y saber dónde cortar, pero no tendría que ser médico ni cirujano."
Medikua.,El médico.
Medikua eta biok honen bila genbiltzan.,El buen doctor y yo lo buscábamos.
Baina poztuko zara medikuak dimisioa aurkeztu duela jakiteaz.,Pero le complacerá saber que nuestro buen doctor ha presentado su renuncia.
- Borrokako medikua!,- ¡Médico de combate!
"Bai, borrokako medikua.","Sí, era médico de combate."
"Tonyren pneumonia tratatu zuenean, zure obstetra medikuak antibiotikoak eman zizkion.","Cuando trataron a Tony por neumonía, al parecer, su obstetra le dio antibióticos."
Zoaz pikutara. Ez zara medikua!,Vete a la mierda. ¡No eres médico!
AUZITEGIKO MEDIKUAREN OHARPENA MILWAUKEEKO KONDERRIA,PELIGRO CONDADO DE MILWAUKEE
"Orduan, medikuari somniferoak eskatu beharko dizkiogu.","Pues iremos al médico, así te da pastillas para dormir."
Medikuaren aginduak bete. Neuk zainduko dut sir Clifford.,"Usted siga las indicaciones del médico, y yo cuidaré a sir Clifford."
Medikuak ondo osatzen ari dela dio.,"Según el médico, su mejoría es notable."
Medikuak esan du ez dela hilko. Asko falta dela.,El doctor ha dicho que aún le queda mucho tiempo.
Medikua behar duzu.,"Necesitas un médico, ¿sí?"
"Medikuak lo egin behar nuela zioen, baina oso mingarria zen.","Y el médico me decía que debía dormir, pero tenía mucho dolor."
"Azkura ematen badizu edo gorri jarriz gero, zoaz medikuarenera.","Si te llegara a picar o te da urticaria, ve al médico."
Medikuarengana eraman behar zaitugu.,Tenemos que conseguirte un médico.
Hitzordua nuen medikuarekin.,Fui al médico.
"Ordenagailuak maite ditut, baina nire gurasoek nahi dute medikua izatea,","Me encanta la informática, pero mis padres quieren que sea médico,"
Uste dut medikuarenera era man beharko nauzula.,Necesito que me lleves al médico.
"Ez al daukazu medikuaren Baja, Tommy?","¿No estabas de baja, Tommy?"
"Medikuak ikusten badu, esan beharko diogu.","Si la ve el médico, habrá que explicarlo."
Batez ere medikuak ikusteko gai dela jakiten duenean.,Más tendremos que explicar cuando vaya a la próxima revisión.
"Ez naiz medikua, baina zure benetako gorputzarentzat ez da batere ona izango hori.","No soy médico, Conner, pero no creo que tu cuerpo real, este cuerpo, reaccionara muy bien."
Hartu ezazu medikuaren baja.,Coge la baja que te ofrecen.
"Poltaren krisia tratatzen dabilen medikuak ""lobulu okzipitaleko bakterio infekzio lokalizatua"" aurkitu du.","La doctora que está tratando a la polt ha buscado ""infecciones bacterianas localizadas en el lóbulo occipital""."
Medikuak esan dizu zer aukera duen bizirauteko?,¿El médico ha dicho qué probabilidad tiene de sobrevivir?
Medikua?,¿Hay médicos?
"Baina... ama ondoezik jarri zen, eta medikuari ordaindu behar izan nion.",Es que mi madre se enfermó y tuve que pagarle a un médico.
Medikuak goizegi dela esan du.,El médico dijo que era muy pronto.
Ez zait medikuak esan duena axola.,No me importa lo que haya dicho.
Lan egiteari utzi eta baja medikua hartu beharko duzu.,Y tendrás que dejar de trabajar. Tomarte licencia médica.
"Zaintzen nauten medikuak ditut. Laster, normal sentituko naiz.","Tengo doctores que me cuidan, y pronto me sentiré normal."
Medikuaren agintea.,Órdenes del doctor.
Medikuak?,- ¿El doctor?
Ez zara ez neskaren ama ez bere medikua.,No es la madre de la niña ni su médico.
Deitu medikuari.,Busquen al doctor.
Medikuari agindu diote haiek artatzeko lehenik.,Los doctores tiene la orden de atenderlos a ellos primero.
Nolatan lortu duzu medikua?,¿Cómo lograste traer un doctor aquí?
Medikua behar du.,Necesita un médico.
Nire emazteak mina dauka eta ez du ondo arnasa hartzen eta medikuak etorriko dela esan du baina bi ordu igaro dira jada.,"Es mi mujer. Le duele un poco y no respira bien, y una doctora dijo que la vería, pero ya han pasado dos horas."
Medikua izan nahi zenuen?,¿Tú querías ser médico?
Medikuak zarete biok.,Ambos son médicos.
Medikua da.,También es médico.
"Medikuak, pazienteak, Beverly.","Los médicos, las pacientes, Beverly."
"Berandu deitu zioten medikuari, eta iritsi zenerako haurra hilda zegoen.","Llamaron tarde al médico y, cuando llegó, el bebé había muerto."
"Beraz, emakumeak eta medikuak elkarrekin lan egin zuten.",Así que ella y el médico trabajaron juntos.
Medikuak eta emakume gazteak 30 ebakuntza burutu zituzten.,El médico y la joven realizaron 30 intervenciones distintas.
"Hogeita hamar ebakuntza eta gero, medikuak konpondu egin zuen.",Treinta intervenciones distintas para resolverlo y el médico lo resolvió.
Medikuak zaretela berretsi nahi du.,Pregunta para confirmar que solo sois médicas.
"Nire aita medikua da, berak hezi gintuen.",Mi padre es médico y nos ha criado.
"Medikua zara, lortu hobea.",Eres doctora. Pilla algo bueno.
Gure medikua balitz bezala.,Nos ha hecho un diagnóstico Mantle.
"Nire ama hil egin zela esan zion medikua, minutu batzuk baino ez zituen alabak bere emaztea hil zuela esan zion medikua, oso-oso gaztea zela.","Que la médica que dijo que mi madre había muerto, la médica que le dijo que su hija, recién nacida, había matado a su mujer, era muy joven."
"Gozokiekin konbentzitu ohi dugu, baina medikuak azukrea mozteko agindu digu.","Siempre la chantajeamos con dulces. Pero el doctor indicó que no comiera azúcar, así que..."
Medikuak azterketa egin behar dizu.,"Señorita, deje que el médico la revise."
"Medikuak esan dit erabateko mugikortasuna daukadala, ez nukeela orbaindu ere egin behar.",El médico dijo que puedo extenderlo totalmente y que quizá no quede cicatriz.
"Hori esan zuen mari-zikinak, eta hori esan nion nik medikuari.",Eso me dijo ella. Así se llama mi vídeo porno. Eso le dije al médico.
"Gogoratzen aldi hura Oscar bizkar gainean eraman zenuenean eta erori eta negarrez eta garrasika hasi zenean eta, puntuak jartzeko unean, medikuak eusteko eskatu zidanean?","¿Recuerdas cuando eras pequeña, llevabas a Oscar a caballito, se cayó, empezó a llorar y a gritar y el médico me pidió que lo sujetara mientras le ponía agujas?"
Baina nire lagun medikuak arriskuak egon daitezkeela esan dit.,Pero tengo un amigo médico y me dijo que había riesgos.
"Onartzen baduzu, medikuak dena prestatzen hasiko dira Romiren immunitate-sistema indargabetzeko.","Si dices que sí, los médicos lo pondrán todo en marcha y alterarán su sistema inmunológico."
Medikuak poz-pozik daude.,Los médicos están contentos.
- Horixe esan zenion medikuari.,- Eso le dijiste al médico.
"Ez naiz medikua, baina igeltsu hau gozo-gozoa dago.","No practico la medicina, pero este yeso se ve exquisito."
"""Ondo""? Medikuarengana eraman zaitudalako.",Estás bien porque te llevé al médico.
"Medikua zara, badakizu ez dela oso osasuntsua.","Eres médica, sabes que no se cuida nada."
Medikuak idatzi arte itxarongo dugu.,Esperamos a que llame el médico.
Medikuaren berriren bat?,¿Alguna noticia del médico?
- Bai. Hauek medikuarengana doaz gero.,Estos van al médico después.
Medikuaren kontua konponduta dago.,Me he encargado del médico.
"Ni kanpoan nengoela inon egon zaren galdetzen badizu norbaitek, esan medikuarenera joan zinela, ados?","Si te preguntan si fuiste a algún sitio mientras yo no estaba, tú di que fuiste al médico. ¿Vale?"
"Medikua naiz, eta jendea sendatzen dut.","Sabes que soy médica, ¿no? Curo a personas."
"Aditzera emango duzu Ludmilla printzesak, gorteko medikuaren gomendioz, hilabeteak ohean pasa behar dituela.","Anunciarán que la princesa Ludmilla, por consejo del médico de la corte, debe quedarse en cama muchos meses."
