Basque (eu),Spanish (es)
Ingeniaritza Dualeko ikasleak Tianjin-Txinako bidaia prestatzen,Alumnos de Ingeniería Dual preparan su viaje a Tianjin-China
Lekukotasunak Atal honetan aurkituko dituzue Ingeniaritza Dualaren esperientzia bizi izan dutenen azalpenak.,Aquí tenéis los comentarios de personas que han probado la experiencia de la Ingeniería IMH en Alternancia:
Energiaren erabileraren arrazionalizazioan oinarritua zerbitzu integralen eskaintzan espezializatzen den ingeniaritza elektrikoko enpresa,servicios integrales enfocada a la racionalización del uso de la energía Quienes Somos
Prozesu eta Produktu Berrikuntzan Ingeniaritza Gradua,Ingeniería en Innovación de Procesos y Productos
"Plastikoaren etorkizuna: Cristina Peña, Gipuzkoako Ingeniaritza Eskolako IIPa, Euskadi Irratian","El futuro del plástico: Cristina Peña, PDI de la Escuela de Ingeniería de Gipuzkoa, en Radio Euskadi"
Nekazaritzako Elikagaien eta Landa Ingurunearen Ingeniaritza,Ingeniería Agroalimentaria y del Medio Rural
"MONDRAGON UNIBERTSITATEAk larunbat honetan, Otsailaren 11n, 10:30ean, ate irekien jardunaldia egingo du bere Arrasateko campusean (Loramendi 4an), Areto Nagusian, Goi Eskola Politeknikoan eskaintzen dituen ingeniaritzako graduen berri emateko.","MONDRAGON UNIBERTSITATEA organiza una Jornada de Puertas Abiertas en su campus de Arrasate (C/ Loramendi, 4) este sábado, 11 de febrero, a las 10:30 horas, una jornada de Puertas Abiertas en el Aula Magna su campus de Arrasate para explicar los grados en ingeniería que imparte en la Escuela Politécnica Superior."
Inés del Campo (Ingeniaritza Elektronikoa),Inés del Campo (Ingeniería Electrónica)
Zentro teknologikoak presentzia nabarmena izan du Produkzioko Ingeniaritzaren Nazioarteko Akademiaren (CIRP) azken biltzarrean.,El centro tecnológico ha tenido una presencia destacada en la última asamblea de la Academia Internacional de Ingeniería de Producción (CIRP)
"Zentroak Informatika Ingeniaritzako Gradua eskaintzen du, hiru espezialitaterekin: Konputagailuen Ingeniaritza, Konputazioa, eta Software Ingeniaritza.","El Centro ofrece un Grado en Ingeniería Informática con tres especialidades: Ingeniería de Computadores, Computación, e Ingeniería del Software."
"Iturria: Irekia Deustuko Unibertsitateko Ingeniaritza Fakultateak antolatzen duen Emakume Teknologoarentzako Ada Byron sariaren bosgarren edizioko antolaketa batzordeak eta epaimahaiak, María Ángeles Martín Prats Sevillako Unibertsitateko Ingeniaritza Elektronikoko irakasle titularrari eman diote 2018ko saria.","El comité organizador y jurado de la quinta edición del Premio Ada Byron a la Mujer Tecnóloga, de la Facultad de Ingeniería de la Universidad de Deusto, ha otorgado el galardón correspondiente a 2018 a María Ángeles Martín Prats, profesora titular de la Universidad de Sevilla en el departamento de Ingeniería Electrónica."
"Ondozabal ingeniaritzako eta mekanika industrialeko enpresa-talde bat da, produkzio-adar dituena, hiru gunetan banatuta: fabrika bat, serie labur-ertainetarako mekanizatu orokorrera bideratua, Orion dago; bigarrena, mekanizatu handietan eta serie luzeetan espezializatua, Adunan; hirugarrena galdara-fabrika da, Orion.","Descripción Ondozabal es un grupo de empresas de ingeniería y mecánica industrial que consta de tres unidades productivas: una enfocada a mecanizado general para series cortas-medias en Orio, una segunda planta en Aduna especializada en grandes mecanizados y series largas y una tercera unidad en Orio especializada exclusivamente a calderería."
"Izendapenen aurka errekurtsoa aurkeztu ahal izango da argitaratu ondorengo hiru (3) egun baliodunetan, Perituen, Industria-ingeniari teknikarien eta Euskadiko Industria-ingeniaritzako gradudunen Kontseiluaren aurrean.","Contra las mismas se podrá interponer recurso, dentro de los tres (3) días hábiles siguientes a su publicación, ante el Consejo de Peritos, Ingenieros Técnicos Industriales y Graduados en Ingeniería de la Rama Industrial del País Vasco."
"Miguel Nvok, Ingeniaritza Zibileko ikasleak, baratzea jartzeko lekurik egokiena zein izango litzatekeen aztertu du lanean, kontuan hartuta ingurumeneko inpaktua, alde batetik, eta baratzea mugitzeko arazoak dituzten pertsonentzat iristeko moduan jartzeko baldintzak, bestetik.","Miguel Nvo, estudiante de Ingeniería Civil, ha examinado en su trabajo cuál sería la ubicación más adecuada para acoger el huerto, teniendo en cuenta tanto el impacto ambiental como los requisitos para hacerlo accesible a personas con problemas de movilidad."
"Zurtek, ingeniaritza, eraikuntza eta zurezko egituren muntaketa | Ingeniaritza, zurezko egituren fabrikazio eta muntaketa.","Porches y Pergolas | ZURTEK, Ingeniería, construcción y montaje de estructuras en madera"
Gradu Bikoitza: Enpresen Administrazio eta Zuzendaritza + Kudeaketaren eta Informazio Sistemen Informatikaren Ingeniaritza,Doble Grado en ADE + Ingeniería Informática de Gestión y Sistemas de Información
"Proiektu hau Industri Ingeniaritza Teknikoaren eta zerbitzu medikoen arteko lankidetza urteen emaitza izan da. Lankidetza hori medikuntzaren kalitatea edo efizientzia hobetzeko produktuak eta zerbitzuak sortzeko bideratu da; izan ere, osasun erakundeek dituzten eta etorkizunean ere izango dituzten premia asko eta asko konpondu ahalko dira industria adarreko ingeniaritza prestakuntza duten edota ingeniaritzan graduaturik dauden pertsonek prestatu beharreko proiektuen bidez; horretarako, jakina, profesional horiek osasunaren arloko ezagutza espezializatuak beharko dituzte.","Este proyecto es fruto de los años de colaboración de la Ingeniería Técnica Industrial con los Servicios Médicos para generar productos y servicios que mejoren la calidad o eficiencia dentro de la medicina, ya que muchas de las necesidades que tienen y van a tener las entidades de salud pueden ser resueltas a través de proyectos elaborados por personas con formación en Ingeniería de la rama industrial y graduadas en ingeniería, que adquieran conocimientos especializados en el campo de la salud."
Gradu bikoitza: Ingeniaritza Mekanikoa + Industria Diseinuko Ingeniaritza,Doble grado: Ingeniería Mecánica + Ingeniería en Diseño Industrial
Ingeniaritza Nautiko eta Itsas Garraioko Gradua,Grado en Ingeniería Náutica y Transporte Marítimo
Bilboko Ingeniaritza Eskola (lehengo Meatzeen eta Herri Lanen Ingeniaritza Teknikoko UE): María José García López,Escuela de Ingeniería de Bilbao (antigua EU de Ingeniería Técnica de Minas y Obras Públicas): María José García López
"Irakats eskaintzaren barruan, batetik, natur zientzien adar klasikoei dagozkien graduak daude: Biologia, Fisika, Geologia, Matematika eta Kimika. Hauekin batera, beste lau titulazio irakasten ditu, jakintza zientifikoa eta garapen teknologikoa batu eta integratzen dituztenak: Biokimika eta Biologia Molekularra, Bioteknologia, Ingeniaritza Elektronikoa eta Ingeniaritza Kimikoa.","La oferta docente incluye por una parte, los Grados correspondientes a las cinco ramas clásicas de las ciencias naturales: Biología, Física, Geología, Matemáticas y Química, junto con otras cuatro Titulaciones que permiten una mejor integración del conocimiento científico y desarrollo tecnológico: Bioquímica y Biología Molecular, Biotecnología, Ingeniería Electrónica e Ingeniería Química."
"Zerbitzuak Direktorioa Ingeniaritza Nautikoa, Itsas Ingeniaritza eta Itsasontzi Erradioelektronikako Ingeniaritza Doktorego Programa","Servicios Directorio Programa de Doctorado en Ingeniería Náutica, Marina y Radioelectrónica Naval"
"(Beste leiho bat zabalduko du)Bilboko Ingeniaritza Eskola, II Beste leiho bat zabalduko du)Bilboko Ingeniaritza Eskola, Portugaleteko eraikinaren planoa (png,16.74 Kb)","GPS: 43º19'36.533''N 3º1'22.785''O Documento: (Abre una nueva ventana)Plano de la Escuela de Ingeniería de Bilbao, Portugalete (png,16,74 Kb)"
Industria Antolakuntzaren Ingeniaritza Masterra - UPV/EHU,Máster en Ingeniería en Organización Industrial - UPV/EHU
"Valentziako Unibertsitate Politeknikoko Ingeniaritza Sailean berriki irakurri da masterraren amaierako lana (Hormigoiaren ingeniaritzako masterra), “Kanabera arruntaren eta artoaren landarearen errautsen karakterizazio kimikoa eta erreaktibotasuna, mortero eta hormigoietan gehigarri pozzolaniko moduan erabiltzeko” izenburukoa. Egilea Alejandro Escalera da, eta zuzendariak, Jose María Monzó eta Jorge Payá.","Recientemente se ha leído en el Departamento de Ingeniería de la Construcción de la Universidad Politécnica de Valencia un trabajo fin de master (Master en Ingeniería del Hormigón) denominado “Caracterización química y reactividad de la ceniza de caña común y planta de maíz, para su uso como adición puzolánica en morteros y hormigones”, cuyo autor es Alejandro Escalera y cuyos directores fueron Jose María Monzó y Jorge Payá."
Ingeniaritza eta zerbitzuak,Ingeniería y Servicios
"Erronka pertsonalei dagokienez, katedradunak nabarmendu du lan egingo duela “ingeniaritzaren esparruan eta, bereziki, ikerketarenean emakume gehiagok jardun dezaten”.","En cuanto a retos personales, la catedrática ha subrayado que trabajará para “aumentar el número de mujeres en el campo de la Country Regístrate:"
Ingeniaritza jasangarriaren katalogoa – Catálogo de ingeniería sostenible 2016-2018. Vitoria-Gasteiz Ingeniaritzako Unibertsitate Eskola – Escuela Universitaria de Ingeniería Vitoria-Gasteiz,Tutorias del Grado en Ingeniería Informática de Gestión y Sistemas de Información - Escuela Universitaria de Ingeniería de Escuela Universitaria de Ingeniería de Vitoria-Gasteiz
1960an titulu garrantzitsu bat lortu zuen ingeniaritza mekanikan Bolonia Unibersitearen partez.,Durante 1960 recibió un título honorífico en ingeniería mecánica por parte de la Universidad de Bolonia.
"Terrazas, Ingeniaritza Ontologiko Taldekoa, Madrilgo Unibertsitate Politeknikoa","Boris Villazón Terrazas, del Grupo de Ingeniería Ontológica, Universidad Politécnica de Madrid"
"Gaur egun, IK4-IDEKO industriaren, automatikaren, mekanikaren, elektronikaren, kimikaren, informatikaren, telekomunikazioen eta materialen adarretan ingeniaritza ikasi duten profesionalez eta zientzia fisikoetako tituludunez interesatuta dago bereziki.","En la actualidad, IK4-IDEKO tiene especial interés en profesionales que hayan estudiado ingeniería en las ramas industrial, automática, mecánica, electrónica, química, informática, de telecomunicaciones y de materiales, así como en titulados en ciencias físicas."
"Aurkezpena Programari buruz Programa hau Ingeniaritzako master bat duten eta ikerketari ekin nahi dioten ingeniarientzat da, I+G+b-ko berariazko gaitasunak garatu nahi dituztenentzat, Informatikan, Industria Ingeniaritzan edo Telekomunikazioan.","El Programa está dirigido a Ingenieros/as o poseedores de un Máster en Ingeniería interesados en iniciarse en la investigación desarrollando competencias específicas de I+D+i en las áreas de Informática, Ingeniería Industrial o Telecomunicaciones."
"2009/2010 ikasturtean, ingeniaritzako graduak ezarri genituen, eta, horrela, gure eskaintza Europako Unibertsitate Eremu berriaren (“Boloniako prozesua”) esparrura eta industriak eskatzen dituen lanbide profiletara egokitu genuen.",Durante el curso 2009/2010 implantamos los grados en ingeniería como resultado de la adaptación de nuestra oferta al marco del nuevo Espacio Europeo de Educación Superior («Proceso de Bolonia») y a los perfiles profesionales que demanda la industria.
Fisikako eta Ingeniaritza Elektronikoko Gradu Bikoitzak maila zientifiko handiko ingeniaria eta teknologia handiko fisikaria izateko prestatuko zaitu.,El Doble Grado en Física y en Ingeniería Electrónica te formará como profesional de la ingeniería con un fuerte componente científico y como profesional de la física con un gran componente tecnológico.
"1.- Nafarroako Gobernua premiatzen da azterlan bat presta dezan, unibertsitateekin eta Lanbide Heziketako ikastetxeekin koordinatuta, jakiteko Nafarroan zertan diren STEM ikasketak (Zientziak, Teknologia, Ingeniaritza eta Matematika), azken hamar urteon izan duten garapenari begiratuz.","1.-Se insta al Gobierno de Navarra a elaborar un estudio de la situación de los estudios en materia STEM (Ciencias, Tecnología, Ingeniería y Matemáticas) en Navarra en coordinación con las universidades y centros de Formación Profesional, analizando su evolución en los últimos diez años."
Cintranaval-Defcar euskal enpresaren ingeniaritzako produktuak Brasilen esklusiban merkaturatzeko akordioa sinatu du Prenavalek.,Prenaval ha cerrado un acuerdo para comercializar en exclusiva los productos de ingeniería de la empresa vasca Cintranaval-Defcar en todo Brasil.
"Ekitaldian, honako sektore hauetan lan egiten duten 135 euskal profesionalek parte hartu zuten: automobilgintza, aeronautika, makina erreminta eta ingeniaritzako zerbitzuak.","En el evento participaron 135 profesionales vascos que trabajan en diversos sectores como el de la automoción, aeronáutica, máquina herramienta y servicios de ingeniería junto con más de una Herriko Unibertsitatea y Velatia."
"AlhóndigaBilbaotik kanpo ere gauzatuko dira ekintzak, adibidez, Pagasarrira igotzea, itsasadarrean itsasontziz ibiltzea, Bilboko fosilak ezagutzeko txangoa egitea, zuhaitz motak identifikatzeko Sarrikoko parketik ibilbidea egitea, Arkeologia Museoa bisitatzea… eta Bilboko Ingeniaritza Eskolako teleskopio handia erabiltzeko aukera ere emango da. Donostiako Zientzia Astea Gipuzkoako hiriburuan, Gipuzkoako Campuseko Barriola Eraikinean edo Ikasgelategian (Elhuyar Plaza) egingo da Zientziaren Astea, Eusko Jaurlaritzaren eta beste zenbait entitateren lankidetzarekin.","También se llevarán a cabo actividades fuera de Alhóndiga Bilbao, por ejemplo una subida al Pagasarri, paseos en barco por la Ría, una excursión para descubrir los fósiles de Bilbao, un recorrido por el parque de Sarriko para identificar los diferentes árboles, una visita al Museo Concebido como un evento festivo y popular en torno a la ciencia y la tecnología, el espacio permanecerá abierto de jueves a sábado (del 11 al 13 de noviembre), en horario ininterrumpido de 10 de la mañana a 8 de la tarde, y constará de nueve stands en los que se mostrarán curiosidades sobre variadas materias."
"Ibaiertzak oso zabalak izango dira, eta horrek bidea emango du, natura-ingeniaritzako (edo bioingeniaritza) teknikak erabilita ibaiertzetako landaredia birsortzeko.","Los márgenes serán muy tendidos, lo que permitirá la revegetación de las orillas utilizando técnicas de ingeniería naturalística (o bioingeniería)."
"Aholkularitza eta ingeniaritza eta bulego tekniko integralerako neurriko zerbitzuak, eraginkortasuna, segurtasuna eta aurrezkia maximizatzeko.","Servicios de asesoramiento e ingeniería y de oficina técnica integral a medida, para maximizar la eficiencia, la seguridad y el ahorro."
"AUSTRIA 1 Softwarearen garapena, ingeniaritza","AUSTRIA 1 Desarrollo de software, Ingeniería"
"“Fluidoen prozesatze-ekipamenduen ingeniaritza, operazioa eta konektibitate arloko erronkak eta aukerak” izenburuarekin, TechnipFMC, Air Liquide, Repsol, Accenture, John Craine Ibérica eta Precognice enpresek konferentzien jardunaldiari emango diote hasiera.","Bajo el título “Desafíos y oportunidades de ingeniería, operación y conectividad de equipos de proceso de fluidos” las empresas TechnipFMC, Air Liquide, Repsol, Accenture, John Craine Ibérica y Precognice iniciarán la jornada de Pabellón: 3"
"Funtsean, kostako epe luzeko kudeaketa eta ingeniaritza ikertzen du; bereziki, klimaren aldaketak kostan duen eraginari eta klimaren aldaketara egokitzeari dagokionez eta, berezikiago, itsas mailaren igoerari dagokionez.Gainera, maila guztietan egiten du lan hori: bai tokiko ikerketa, El Solenten, bai ebaluazio globalak.Azken ikergai nagusietako bat delten etorkizuna du, datorren mendean horiek egongo baitira arriskurik handienean kostaldean. Iñigo Losadak bezalaxe, nazioarteko zenbait ebaluaziotan parte hartu du; bereziki, Klimaren Aldaketari buruzko Gobernuarteko Taldearen barruan, zeinak Bakearen Nobel saria irabazi zuen 2007an.","Su investigación se centra en la gestión y la ingeniería costeras a largo plazo, especialmente en las cuestiones de los impactos costeros y la adaptación al cambio climático, haciendo especial hincapié en el aumento del nivel del mar. Esta labor tiene lugar a todos los niveles, desde la investigación a escala local en El Solent, hasta las evaluaciones globales. Uno de los últimos temas de investigación principales es el futuro de las zonas de los deltas, que serán los enclaves costeros más amenazados en el próximo siglo. Al igual que Iñigo Losada, ha participado en una serie de evaluaciones internacionales, especialmente en el Grupo Intergubernamental de Expertos sobre el Cambio Climático (IPCC), que fue galardonado con el Premio Nobel de la Paz en 2007."
"Alonso, Lead Engineer lanpostuan aritzen da newsletterrean, zeinak 11.000 harpidedun baino gehiago dituen, talentua kudeatzeko garatzen dituen jardunbideei eta neurriei buruz. IK4-TEKNIKER, fabrikazio aurreratuko teknologietan, gainazalen ingeniaritzan, produktu-ingeniaritzan eta IKTetan espezializatutako zentro teknologikoa da.","Por su parte, IK4-TEKNIKER, centro tecnológico especializado en tecnologías de fabricación avanzada, ingeniería de superficies, ingeniería de producto y TICs, será premiada con la publicación de un reportaje en nuestra newsletter con más de 11.000 suscriptores acerca de las prácticas y medidas de gestión del talento que desarrolla en la misma."
Ingeniaritzak (titulazio guztiak),Ingeniería (todas las titulaciones)
"Administraritzako lehiaketak: Proiektuak egin, obrak zuzendu eta ingeniaritza zerbitzuak.","Concursos de la Administración: Redacción de proyectos, Direcciones de obra y servicios de ingeniería Veringer."
5N Plus kimika eta ingeniaritza materialen konpainiak iragarri du metal hauts-eskandio metal hauts produktuen zorro berria 3D inprimatzeko merkatuan sartzeko.,La empresa de materiales químicos y de ingeniería 5N Plus ha anunciado el lanzamiento de una nueva cartera de productos de polvo metálico y polvo metálico de escandio para ingresar al mercado de la impresión 3D.
FABRIKAZIO-PROZESUAK / Ingeniaritza / Tresneria bereziaren fabrikaziokoa,PROCESOS DE FABRICACIÓN / Ingeniería / De fabricación de equipos especiales
"Teknologia handiko ingeniaritza, prototipatzea eta kalitatezko kable pertsonalizatuak fabrikatzeko tradizioa garatu dugu prezio oso lehiakorrean.","Hemos desarrollado una tradición de ingeniería de alta tecnología, creación de prototipos y calidad en la fabricación de cables personalizados a precios muy competitivos."
Ingeniaritza Electronikoko Graduko Zeharkako Gaitasunak Dokumentuak,Competencias Transversales del Grado en Ingeniería Electrónica Documentos
"Bertan, arazoetan eta proiektuetan oinarrituriko ikaskuntzako esperientziak partekatuko dira, ingeniaritzako prestakuntzaren ildoak finkatzeko.","El acto, que tendrá lugar en el directrices en la formación en ingeniería."
"Euskal Herrian ordezkaritza duen Mendi Ingeniaritza Elkargoak antolatutako dibulgazio jardunaldia, Derioko Itsasmendikoi - Nekazaritza Eskolan. Egitaraua Aurrekoa",Jornada divulgativa organizada por la delegación en el País Vasco del Colegio de Ingenieros de Montes en la Escuela Agraria de Derio – Itsasmendikoi.
"Goi-mailakoak: Graduko unibertsitate-ikasketak, lizentziaturakoak, goi-mailako ingeniaritzakoak eta antzekoak, eta hirugarren gradukoak, graduondokoak, masterrak, doktoretza eta espezializazioa.","Superiores: Estudios de Grado universitario, Licenciatura, Ingeniería Superior y similares, así como de tercer grado, postgrado, másters, doctorado y especialización."
"Ingeniaritza mekanikoko, fabrikazioko prozesuen ingeniaritza proiektuen zuzendaritza eta ekoizpen buru eta kalitate kontroleko zuzendaritza betekizunak burutzen ditu. Bere ardurapean ditu 120 langile 150 langileko enpresa batean.","Desarrolla funciones de dirección de ingeniería mecánica, dirección de proyectos de ingeniería de procesos de fabricación y jefe de producción y control de calidad, con responsabilidad sobre una plantilla directa de 120 personas en una empresa de 150 personas."
"Bilboko campusa, Deusto Business School, Enpresa eta Industria, Gizarte eta Giza Zientzien Fakultatea, Zuzenbide Fakultatea, Ingeniaritza Fakultatea, Psikologia eta Hezkuntza Fakultatea, Teologia Fakultatea, Nazioartea, Ikerkuntza, Teknologia Berriak eta Internet, Beste espazio batzuk, Prensa, Osasuna eta Prebentzioa, Informazio saioak","Campus Bilbao, Deusto Business Psicología y Educación, Facultad de Teología, Internacional, Investigación, Nuevas Tecnologías e Internet, Otros espacios, Prensa, Salud y Prevención, Sesiones Informativas Deja un comentario Cancelar respuesta"
"Informatika Ingeniaritzako lizentzia (EHU, 2002) eta Hizkuntzaren Prozesamendua masterra (EHU, 2012) ditu, eta doktorea da Informatika Ingeniaritzan (EHU, 2017).","Xabier Ingeniería Informática (UPV/EHU, 2002) y de Máster en Procesamiento del Lenguaje (UPV/EHU, 2012) y es doctor en Ingeniería Informática (UPV/EHU, 2017)."
"Ingeplan ingeniaritza zibilean, eraikuntzan eta hirigintzan lan egiten duen enpresa da. Gure zerbitzua bezeroaren beharretara egokitzen dugu, bezero publiko zein... [+ info]",INGEPLAN es un Estudio de Ingeniería especializado en elaboración de proyectos y prestación del servicio de asistencia técnica de obras... [+ info]
"Abstract [EU]Gaur egun, era autonomoan jarduteko gai diren sistemen garapena, bereziki ibilgailuen gidatze sistemetan aplikagarri direnak, ingeniaritza automatikoarekin lotutako ikerkuntza eta berrikuntza arlorik interesgarrienetarikoa da.","[ES]Hoy en día, el desarrollo de sistemas capaces de operar de manera autónoma y más en concreto, los sistemas aplicables al entorno de pilotaje de vehículos, es uno de los campos de innovación mas interesantes relativos a la ingeniería automática."
Meatzaritza eta Energia Teknologiaren Ingeniaritzako Gradua (desagertzear),Grado en Ingeniería de Tecnología de Minas y Energía (en extinción)
Ingeniaritzako Gradua » Konputagailuen Teknologiaren Oinarriak,Grado en Ingeniería Química Industrial
"• I+G+b jarduerak, produktu berria garatzen bukatzeko: industria diseinua, produktuaren ingeniaritza, prototipoa balioztatzea eta berriz diseinatzea…","• Actividades de I+D+i para finalizar el desarrollo del nuevo producto: diseño industrial, ingeniería de producto, validación de prototipo y rediseño…"
"Ingeniaritzako ikasleen talentuarekin duen konpromisoa berretsi du konpainiak sariketa bederatzigarren aldiz antolatuz eta zenbait ekimen aktibatuz ikasle askori aukera emateko, urtez urte, gradu- edo master-amaierako lanak enpresan egiteko.",La compañía reafirma su compromiso con el talento de los estudiantes de ingeniería a través de la convocatoria de jóvenes puedan elaborar sus proyectos de fin de Grado o Máster en la empresa
Fisika teorialaria; Ingeniaritza Industrialean eta Informatikan ikasketa aurreratuak ditu eta masterra du Museolaritzan.,"Es un físico teórico, con estudios avanzados de Ingeniería Industrial e Informática, así como experto y máster en Museología."
Sektore-topaketa: Ingeniaritza 28,(ES) Encuentro sectorial: Ingeniería 28
"Ingeniaritza: elektronikoa, elektrikoa, industriala, mekanika, mekatronika...","Ingeniería: electrónica, eléctrica, industrial, mecánica, mecatrónica..."
Ordutegiak - Vitoria-Gasteizko Ingeniaritza Eskola - UPV/EHU,Prácticas en Empresa - Escuela de Ingeniería de Vitoria-Gasteiz - UPV/EHU
"Errefortzu hau Juan de Ledesmaren proiektuan oinarrituz gauzatu zen, ""Vauban"" bezala ezagutzen zen sistema poliorzetikoa jarraituz, izen hori Luis XIV.a Frantziakoaren garaian ingeniaritza militarra berriztatu zuen ingeniari militarraren deitura da.","Este refuerzo se hizo en base al proyecto de Juan de Ledesma, siguiendo el sistema poliorcético conocido como ""de Vauban"", por el nombre del ingeniero militar que renovó la ingeniería militar en tiempos de Luis XIV."
Informatika Ingeniaritzako Gradua/,Grado en Farmacia/
"Ekitaldi akademikoak, Bilboko campusa, Ingeniaritza Fakultatea, Psikologia eta Hezkuntza Fakultatea, Teknologia Berriak eta Internet, Psikologia eta Hezkuntza","Actos Académicos, Campus Bilbao, Facultad de Ingeniería, Facultad de Psicología y Educación, Nuevas Tecnologías e Internet, Psicología y Educación"
"Metal eta uraren sektoreetan zentratzen den MSI ingeniaritzako Peter Kramer-ek azaldu du bere proiektua hiru bider baztertu zutela Europan, eta prozesu horretan bi gauza ikasi dituela: produktuak numerikoki erakutsi behar duela merkaturako duen balioa eta bazkide teknologiko bat eduki behar dela.","Peter Kramer, de la ingeniería MSI, centrada en los sectores del metal y el agua, ha comentado que su proyecto fue rechazado tres veces en Europa y ha aprendido que el producto debe demostrar númericamente su valía para el mercado y contar con un socio tecnológico."
AUTOCAD: Ingeniaritza marrazkiak,AUTOCAD: dibujos de ingeniería
"Obrak egiteko kontratuak, obren zuzendaritzakoak, ingeniaritza kontratuak, bizitzen hasteko prest dauden pisuen kontratuak.","Contratos de ejecución de obras, dirección de obras, ingeniería, llave en mano."
2502393 Industria Elektronikaren eta Automatikaren Ingeniaritza (Bilbao),2502393 Ingeniería Electrónica Industrial y Automática (Bilbao)
"Ereduak xasis sendoa eta gogorra du, gidatze eta praktikotasuna hobetzeko diseinatuta dauden ingeniaritza ezaugarri berriak aurkezten dituena.",El modelo tiene un chasis robusto y resistente que presenta una serie de nuevas características de ingeniería diseñadas para mejorar aún más la manejabilidad y la practicidad.
"“Proiektu horietan guztietan gure bezeroen ingeniaritza Intralogistikoko erreferentziako bazkide teknologiko gisa posizionatuta gaude, eta haien produktibitatea eta efizientzia bultzatzeko soluzio bereziak inplementatzea jomuga nagusia duten aliantzak egiten ditugu haiekin”, ziurtatu du Juan Jesus Alberdik, ULMA Handling Systemsen gerenteak.","“En todos estos proyectos estamos posicionados como el socio tecnológico de referencia en ingeniería intralogística de nuestros clientes, con los que alcanzamos alianzas centradas en implementar soluciones singulares para impulsar su productividad y eficiencia”, necesidades de sus clientes, ULMA Handling Systems trabaja con empresas con vocación de crecimiento."
Industria Ingeniaritzako Masterra Arrasate,Máster en Ingeniería Industrial Arrasate
09:30 Hezkuntza Dualaren garapena: Lehen Hezkuntza Gradua eta Ingeniaritza Informatikoaren Masterra.,09:30 Desarrollo de la Formación Dual: Grado en Facultad de Economía y Empresa (Donostia).
Egutegia - Eraikuntzaren Ingeniaritza Masterra - UPV/EHU,Máster en Arte Contemporáneo Tecnológico y Performativo - UPV/EHU
Txandakako IMH Ingeniaritza Eskola EHUra atxikitu da,La Escuela de Ingeniería IMH en Alternancia se adscribe a la EHU-UPV
2019/05/28 - Ingurumen Sailak eta Euskal Herriko Unibertsitateak Bilboko Ingeniaritza Eskolak parte hartzen duen Industria Ekonomia Zirkularreko Estatuko lehenengo graduondokoa bultzatu dute,"28/05/2019 - El Departamento de Medio Ambiente del Gobierno Vasco impulsa el primer posgrado del Estado en Economía Circular Industrial, en el que participa la Escuela de Ingeniería de Bilbao"
Ingeniaritza Mekanikoa + Enpresen Administrazio eta Zuzendaritza,Ingeniería Mecánica + Administración y Dirección de Empresas
"Metalezko sareta eta altzairuzko kablez egindako egitura monumentalak XIX. mende amaierako ingeniaritzaren arrakasta handienetako bat irudikatzen du, baita ezagutzen diren garraiobideen arloan berrikuntza jenial bat ere.",Su monumental estructura de celosía metálica y cables de acero representa uno de los mayores éxitos de la ingeniería de fines del siglo XIX y una innovación genial en los medios de transporte conocidos.
"Bestalde, gizonezkoen % 85 era orekatuagoan banatu zen ingeniaritza eta arkitektura-ikasketen (% 46) eta Gizarte eta Lege Zientzietako ikasketen artean (% 39).","En cambio, el 85% de los hombres se repartió de manera más equilibrada entre Ingeniería y arquitectura (46%) y Ciencias sociales y jurídicas (39%)."
"Luse Ingenieríak, 2007an BIC Bizkaia Ezkerraldean sortu zen eta robotika eta automatizazio ingeniaritzan aritzen den Barakaldoko enpresak, antolatzen du “I Honesty Day”. Topaketaren helburu nagusia lan munduko, negozioen munduko, zuzentasunari balioa ematea da.","Luse Ingeniería, empresa de Barakaldo fundada en el año 2007 en el propio BIC ingeniería de robótica y de automatización, organiza este su “I Honesty Day”, un encuentro que tiene como principal objetivo poner en valor la honestidad en el ámbito laboral, en el mundo de los negocios."
Kudeaketaren eta Informazio Sistemen Informatikaren Ingeniaritzako Gradua,Escuela Universitaria de Gestión y Sistemas de Información
Euskal Herriko Mugarik Gabeko Ingeniaritza Amassunu,Enlaces de Ingeniería Sin Fronteras País Vasco Amassunu
Topografia-ingeniaritza Teknikoa.,Ingeniería Técnica en Topografía.
Energiaren Ingeniaritza Graduari dagokionez ondoren ‘Kredituen aitortza eta transferentziarako sistemaren esparru araudia’ jasotzen da Inskripzioa Ate irekiak,En relación al Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto a continuación se recoge el ‘Marco normativo del sistema de reconocimiento y transferencia de créditos’ Inscripción Puertas abiertas
"Oso interesgarria iruditu zitzaidan, ingeniaritza zibileko lanak oso metaforikoak direla uste dut.","Me pareció muy interesante, creo que las obras de ingeniería civil son muy metafóricas."
"Testuinguru honetan kokatzen da adibidez, Departamentuak Euskal Herriko Unibertsitateko Gipuzkoako Ingeniaritza Eskolarekin sinatuko duen hitzarmena, helburua itsasoko PET plastikoaren birziklapenaren inguruan ikerketa lerro bat zabaltzea da, zehazki, plastikoaren birziklapenari eta ehun-harian eraldatzeari buruz.","En ese contexto se enmarca, por ejemplo, el convenio que firmará el Departamento con la Escuela de Ingeniería de Gipuzkoa de la Universidad del País Vasco para abrir una línea de investigación orientada al reciclaje del PET marino y en concreto, al reciclaje del plástico y la transoformación del mismo a hilo textil."
Ingeniaritza marrazki:,Dibujo de ingeniería:
