Basque (eu),Spanish (es),Spanish_Translation
"EHUko Ingeniaritza Eskolak sustaturik, Industria Elektronikaren eta Automatikaren Ingeniaritzako Gradua titulazio praktiko bat da, gure herrialdeko sektore estrategiko gehienetan eta gure ingurunean oso ezarrita dauden arloetan presentzia eta aplikazioa duena, besteak beste, daiteke, esaterako, medikuntzan, nekazaritzan, salgaiak banatzeko prozesuetan, trafikoa kudeatzeko sistemetan, energiaren produkzioan eta banaketan, etab.","Promovido por la Escuela de Ingeniería de Vitoria-Gasteiz – UPV/EHU, El Grado en Ingeniería Electrónica Industrial y Automática es una titulación práctica con presencia y aplicación en la mayoría de los sectores estratégicos de nuestro país y en áreas con una fuerte implantación en nuestro entorno, como la máquina herramienta, la industria del automóvil, aeronáutica, robótica, microelectrónica. También tiene aplicaciones en otras áreas, como es el caso de la medicina, la agricultura, los procesos de distribución de mercancías, los sistemas de gestión de tráfico, la producción y distribución de energía, etc.","El Grado en Ingeniería Electrónica Industrial y Automática, promovido por la Escuela de Ingeniería de la UPV/EHU, es una titulación práctica con presencia y aplicación en la mayoría de los sectores estratégicos de nuestro país y en áreas muy establecidas en nuestro entorno, como la medicina, la agricultura, los procesos de distribución de mercancías, sistemas de gestión del tráfico, producción y distribución de energía, etc."
Sistema Txertatuen Ingeniaritza,Ingeniería de Sistemas Empotrados,Ingeniería de Sistemas Embebidos
Tokia: Eibarko Ingeniaritza Industria Teknikoko Unibertsitate Eskola (1. pisuan).,"Lugar: ""Escuela Universitaria de Ingeniería Técnica Industrial de Eibar"" (aula para exámenes, 6º piso).",Lugar: Escuela Universitaria de Ingeniería Técnica Industrial de Eibar (planta 1).
Ingeniaritza Informatikoan lizentziatua da eta Informazioaren Segurtasunean Masterra du.,Licenciada en Ingeniería Informática y Máster en Seguridad de la Información.,Licenciado en Ingeniería Informática y Master en Seguridad de la Información.
"Bezeroarekiko kolaborazio estuan, edozein beharretara moldatzen gara, ingeniaritza pneumatikoko konponbideak edozein erronkari eskainiz.","En estrecha colaboración con el cliente, nos adaptamos a cualquier necesidad, ofreciendo soluciones de ingeniería neumática a cualquier reto.","En estrecha colaboración con el cliente, nos adaptamos a cualquier necesidad, ofreciendo soluciones de ingeniería neumática a cualquier reto."
"Ez duzu alderantzikako ingeniaritzarik egingo, ezta Softwarea deskonpilatu edo desmuntatu ere, eta ez zara iturri kodea aurkitzen saiatuko.","Usted no podrá realizar ingeniería inversa, descompilar, desensamblar ni intentar descubrir el código fuente del Software.","No va a hacer ingeniería de inversión, ni a descompilar o desmontar software, ni tratarás de encontrar el código fuente."
Gradu bikoitzaren klaseak Ekonomia eta Enpresa Fakultatean (Gasteiz) eta Gasteizko Ingeniaritza Eskolan izango dira.,El doble grado se imparte en la Facultad de Economía y Empresa (Vitoria-Gasteiz) y en la Escuela de Ingeniería de Vitoria-Gasteiz.,Las clases de doble grado se impartirán en la Facultad de Economía y Empresa (Vitoria-Gasteiz) y en la Escuela de Ingeniería de Vitoria.
"Ingeniaritza, aholkularitza eta ingurumen-zerbitzuak","Ingeniería, consultoría y servicios medio ambiente","Ingeniería, consultoría y servicios ambientales"
"Ingeniaritzaren esperientzia behar medikoekin konbinatzen ditu, osasunaren zainketaren mesederako.",Combina la experiencia de la ingeniería con necesidades médicas para obtener beneficios en el cuidado de la salud.,"Combina la experiencia de la ingeniería con las necesidades médicas, en beneficio del cuidado de la salud."
Ekoteknologia eta Prozesu Industrialetan Ingeniaritza Gradua 60 ECTS,Grado en Ingeniería en Ecotecnología en Procesos Industriales 60 ECTS,Grado en Ingeniería en Ecotecnología y Procesos Industriales 60 ECTS
Industria Teknologien Ingeniaritzako Gradua - Bilboko campusa >,Grado en Ingeniería en Tecnologías Industriales - Campus Bilbao >,Grado en Ingeniería en Tecnología Industrial - Campus de Bilbao >
Konputazio Ingeniaritza eta Sistema Adimentsuak,Ingeniería Computacional y Sistemas Inteligentes,Ingeniería Computacional y Sistemas Inteligentes
Ingeniaritza Mekanikoko eta Enpresen Administrazio eta Zuzendaritzako Gradu Bikoitza - Mugikortasuna - UPV/EHU,Doble Grado en Ingeniería Mecánica y en Administración y Dirección de Empresas - Movilidad - UPV/EHU,Doble Grado en Ingeniería Mecánica y Administración y Dirección de Empresas - Movilidad - UPV/EHU
Industria Antolaketako Goi mailako Ingeniaritza.,Ingeniería Superior en Organización Industrial.,Ingeniería Superior en Organización Industrial.
"Datu Pertsonalei buruzko abenduaren 13ko 15/1999 Lege Organikoa betez, jakinarazten dizugu atariaren bidez ematen dituzun datuak isilpean tratatuko direla, eta Akting Ingeniaritza SLren titulartasuneko fitxategi batean sartuko direla, Datuen Babeserako Espainiar Agentzian behar bezala inskribatutakoan (www.agpd.es).","En cumplimiento de la Ley Orgánica 15/1999, de 13 de diciembre, de Protección de Datos de Carácter Personal, le informamos que los datos inscrito en la Agencia Española de Protección de Datos (www.agpd.es).","En cumplimiento de la Ley Orgánica 15/1999, de 13 de diciembre, de Datos Personales, le informamos que los datos facilitados a través del portal serán tratados en secreto y que serán incluidos en un fichero de titularidad de la SL de Ingeniería Akting, debidamente inscrito en la Agencia Española de Protección de Datos (www.agpd.es)."
“Ingeniaritza Mekanikoan lizentziatu nintzen Floridako Unibertsitatean.,Apuesta de futuro Conócenos Mecánica en la Universidad de Florida.,Me licencié en Ingeniería Mecánica por la Universidad de Florida.
Hasiera Albisteak Txandakako IMH Ingeniaritzan proiektuen aurkezpenak,Inicio Noticias Presentación de proyectos en la Ingeniería IMH en Alternancia,Inicio Noticias Presentación de proyectos de Ingeniería IMH en Turno
Buildtonet: sustatzaileak arkitektura- eta ingeniaritza-estudioekin harremanetan jartzen dituen webgunea.,Builtonet: Sitio web que pone en contacto promotores con los estudios de arquitectura e ingeniería,Buildtonet: página web que pone en contacto a los promotores con los estudios de arquitectura e ingeniería.
"Egoitza New Hampshire (AEB) Estatuan duen Commonwealth Dynamics konpainiak goi-mailako ingeniaritza-konponbideak eskaintzen ditu industriarako, eta AEBetan, Txilen, Perun, Mexikon eta Indian lan egiten du nagusiki.","Con sede en New Hampshire (EEUU), Commonwealth Dynamics está especializada en la provisión de soluciones de alto nivel de ingeniería para la industria y centra su actividad en EEUU, Chile, Perú, México e India.","Commonwealth Dynamics, con sede en Nueva Hampshire (EEUU) ofrece soluciones de ingeniería de alto nivel para la industria y trabaja principalmente en EEUU, Chile, Perú, México e India."
Andres Lopez Pita Kataluniako Unibertsitate Politeknikoko Trenbideetako Katedradunak eta Ingeniaritzaren Errege Akademiako kideak egin zuen aurreneko hitzaldia 1 2,"La lección inaugural fue dictada por Andrés López Pita, catedrático de la Universidad Politécnica de Catalunya y miembro de la Real Academia de Ingeniería 1 2","Andres López Pita, Catedrático de Ferrocarriles de la Universidad Politécnica de Cataluña y miembro de la Real Academia de la Ingeniería, ofreció su primera conferencia 1 2"
Ingeniaritza: EDE Ingenieros,Ingeniería: EDE Ingenieros,Ingeniería: EDE Ingenieros
"Hala, ingeniaritza-ikasleen trebakuntza eta talentuarekin duen konpromisoa berretsi du enpresak. Gehiago irakurri",Los premios Orona formación y el talento de los estudiantes de ingeniería. Leer Más,La empresa confirma su compromiso con la formación y el talento del alumnado de ingeniería.
"Industria Elektronikako eta Automatikako Ingeniaritzako Graduak prestatuko zaitu elektronika, robotika, komunikazioak eta mikroprozesadoreak integratzeko, produktu eta prozesu berritzaileenen diseinuan eta sorreran, industria arloan, energia berriztagarrietan edo fabrikazio instalazioen automatizazioan, besteak beste.","El Grado en Ingeniería Electrónica Industrial y Automática te preparará para integrar la electrónica, la robótica, las comunicaciones o los microprocesadores en el diseño y construcción de productos y procesos más innovadores en el ámbito industrial, el de las energías renovables, o la automatización de plantas de fabricación, entre otros.","El Grado en Ingeniería Electrónica Industrial y Automática le preparará para la integración de electrónica, robótica, comunicaciones y microprocesadores, diseño y creación de productos y procesos más innovadores, industria, energías renovables o automatización de instalaciones de fabricación, entre otros."
Informatika kudeaketan ingeniaritza teknikoa ikasi nuen Bilboko Deustoko unibertsitatean 1998 eta 2002 urteen artean.,Realicé estudios de Ingeniería técnica informática en la universidad de Deusto entre los años 1998 y 2002.,Estudié Ingeniería Técnica en Gestión Informática en la Universidad de Deusto de Bilbao entre 1998 y 2002.
Telekomunikazio Teknologiaren Ingeniaritzako graduko ikaslea,Grado en Ingeniería de Tecnología de Minas y Energía,Estudiante de Grado en Ingeniería en Tecnología de Telecomunicaciones
Ingeniaritza mekanikoa eta materialena,Ingeniería electrónica y de las comunicaciones,Ingeniería mecánica y de materiales
"Gure ezagutza guztia gure bezeroen eskura dago, ingeniaritza-zerbitzuaren bidez.",Todo nuestro conocimiento está al alcance de nuestros clientes a través de nuestro servicio de ingeniería.,Todo nuestro conocimiento está al alcance de nuestros clientes a través del servicio de ingeniería.
Ingeniaritza eta Bioteknologia Zentroa (CIGB) Abdala garatzen ari da.,"El experto pertenecen al Centro de Ingeniería Genética y Biotecnología (CIGB), entidad que desarrolla Abdala.",El Centro de Ingeniería y Biotecnología (CIGB) está desarrollando el Abdal.
Industria Diseinuko Ingeniaritza + Ingeniaritza Mekanikoa > Arau akademikoak,Ingeniería en Diseño Industrial + Ingeniería Mecánica > Gestión de calidad,Ingeniería en Diseño Industrial + Ingeniería Mecánica > Normas académicas
"2012an lekualdatu zen eraikin berrira; zehazki, Bilboko Ingeniaritzako Goi Eskola Teknikoa zenaren aldamenera.",En el año 2012 se trasladó al nuevo edificio ubicado junto a la antigua Escuela Técnica Superior de Ingeniería de Bilbao.,"Se trasladó al nuevo edificio en el año 2012, concretamente al cambio de la Escuela Técnica Superior de Ingeniería de Bilbao."
"Gertaera, ingeniaritza logistikoak azken urteetan frantziako merkatuan izan duen hazkundeari esker, kooperatibak bizi duen hedapen prozesuaren baitan kokatzen da, zerbitzu “gertuagoakoa, azkarragoa eta konfiantza handiagokoa” eskaintzeko.","QUEDAN INAUGURADAS LAS NUEVAS OFICINAS DE SAN JUAN DE LUZ (FRANCIA) DE nuevas oficinas de la Cooperativa en San Juan de Luz, un acontecimiento que se enmarca dentro del proceso de expansión de la ingeniería logística gracias al crecimiento experimentado en los últimos años en el mercado francés para ofrecer un servicio “más cercano, rápido y de confianza”.","El hecho, debido al crecimiento de la ingeniería logística en el mercado francés en los últimos años, se enmarca dentro del proceso de difusión de la cooperativa para ofrecer un servicio más emergente, más rápido y de mayor confianza."
"IHURMO, Txinan ingeniaritza makineria hornitzaile batek, kalitatezko eraikuntza ekipamenduak eskaintzen ditu, baita lehen mailako zerbitzuak ere.","IHURMO, un proveedor de maquinaria de ingeniería en China, ofrece no solo equipos de construcción de calidad sino también servicios de primera clase.","IHURMO, una maquinaria de ingeniería suministradora en China, ofrece equipamientos constructivos de calidad y servicios de primera categoría."
Industria kimikaren Ingeniaritzako Gradua,Ingeniería Química Industrial,Grado en Ingeniería Química Industrial
"ECTS kopurua: 4,5 | Titulua: BIOMEDIKAKO INGENIARITZA GRADUA","ECTS: 4,5 | Título: GRADO EN INGENIERÍA BIOMÉDICA","No ECTS: Título 4,5 19: INGENIERÍA GRADUA DE BIOMEDICA"
"Arabako Foru Aldundiak, UPV/EHUko Gasteizko Ingeniaritza Eskolak, CTAk eta Aernnova Aerospacek sustaturik, programa honen helburua da Arabako industria-enpresen lehiakortasuna hobetzea, doktore-tesiak egiteko laguntza emanez, kasu honetan, egitura aeronautikoak fabrikatzeko teknologia aurreratuak garatzeko.","Promovido por la Diputación Foral de Álava, la Escuela de Ingeniería de Vitoria-Gasteiz – UPV/EHU, CTA y Aernnova Aerospace, el objetivo de este programa es mejorar la competitividad de las empresas industriales alavesas mediante el apoyo a la realización de tesis doctorales, en este caso, dirigidas a desarrollar tecnologías avanzadas de fabricación de estructuras aeronáuticas.","El programa, impulsado por la Diputación Foral de Álava, la Escuela de Ingeniería de Vitoria de la UPV/EHU, CTA y Aernnova Aerospac, tiene como objetivo mejorar la competitividad de las empresas industriales alavesas, apoyando la realización de tesis doctorales para desarrollar en este caso tecnologías avanzadas en la fabricación de estructuras aeronáuticas."
MEKANIKA INGENIARITZA SAILA,DEPARTAMENTO DE INGENIERÍA MECÁNICA,DEPARTAMENTO DE MECANICA INGENIERÍA
"Azaroak 23tik 26ra Aalborg Unibertsitateko UNESCOko PBL, ingeniaritza, zientzia eta iraunkortasunaren zentroko Anette Kolmos zuzendariak eman zuten Kolonbiako Unibertsitate Nazionalean.","Del 23 al 26 de noviembre la directora de PBL, ingeniería, ciencia y sostenibilidad de la UNESCO de la Universidad de Aalborg, Anette Kolmos, junto con Nestor Arana de Mondragon Unibertsitatea dieron un taller sobre Universidad Nacional de Colombia.","Del 23 al 26 de noviembre, la PBL de UNESCO de la Universidad de Aalborg fue impartida por Anette Kolmos, directora de la Universidad Nacional de Colombia del centro UNESCO, de ingeniería, ciencia y sostenibilidad."
"Ingeniaritza zibilean emaniko aurrerapausoei esker, tamainaz eta kalitatez obra handiosak egin daitezke .",Los avances en la ingeniería civil permiten crear obras grandiosas por su tamaño y complejidad .,"Gracias a los avances realizados en la ingeniería civil, se pueden realizar obras grandes en tamaño y calidad."
2019 urtarrilan eta martxoan hasten diren Ingeniaritzako programak:,Programas de formación contínua de Ingeniería que comienzan en enero y marzo 2019:,Programas de Ingeniería que comienzan en enero y marzo de 2019:
Ixaka Egurbide Ingeniaritza Dualeko Unibertsitate Eskolako Zuzendaria eta Aitor Ceciaga ikasleen 16. promozioko ordezkaria.,"Ixaka Egurbide, Director Escuela Universitaria de Ingeniería Dual y Aitor Ceciaga, delegado del alumnado de la promoción 16.","Ixaka Egurbide Director de la Escuela Universitaria de Ingeniería Dual y Aitor Ceciaga, representante de la 16a promoción de los alumnos."
"Proiektuaren helburu nagusia da ikasleari aukera ematea ondoren aurkeztu diren proiektu motetako bat egiteko, denbora tarte jakin batean eta irakasle tutoreak gainbegiratuta, EAZko proiektuari dagokionez lehentasunez taldean eta Ingeniaritzako proiektuari dagokionez lehentasunez bakarka.","El objetivo general del Proyecto es permitir que el estudiante aborde y realice, preferiblemente en equipo, en un tiempo determinado y bajo la supervisión de un profesor tutor, alguno de los proyectos contemplados en alguna de las siguientes modalidades:","El objetivo principal del proyecto es dar al alumno la oportunidad de realizar uno de los tipos de proyectos que se han presentado a continuación, durante un periodo de tiempo y supervisado por el profesorado tutor, preferentemente en grupo en el proyecto del CAU y de forma individual en relación con el proyecto de Ingeniería."
Enpresen Administrazio eta Zuzendaritzako eta Kudeaketaren eta Informazio Sistemen Informatikaren Ingeniaritzako Gradu Bikoitza/,Administración y Dirección de Empresas y en Ingeniería Informática de Gestión y Sistemas de Información/,Doble Grado en Ingeniería Informática de Administración y Dirección de Empresas y Gestión y Sistemas de Información
Hori guztia landu eta garatu ahal izango duzu Informatika Ingeniaritzako Graduan.,Infórmate de las prácticas externas voluntarias que te ofrecemos en el Grado en Ingeniería Electrónica Industrial y Automática.,Todo ello te permitirá trabajar y desarrollar en el Grado en Ingeniería Informática.
"Informatika Ingeniaritzako Graduari dagokionez, ikasgai hau zuzenean lotuta dago zenbait derrigorrezko ikasgaiekin, bai sistema eragileen arloan eta baita sareetakoan ere.","En el marco del Grado en Ingeniería Informática, esta asignatura guarda relación directa con varias asignaturas obligatorias del Área de sistemas operativos y de redes.","En cuanto al Grado en Ingeniería Informática, esta asignatura está directamente relacionada con algunas asignaturas obligatorias, tanto en el ámbito de los sistemas operativos como en el de las redes."
Albisteak Fisikako eta Ingeniaritza Elektronikoko gradu bikoitza eskainiko du 2014/2015 ikasturtean UPV/EHUk,Noticias Aumenta el número de estudiantes que recurren a la Aldezle de la UPV/EHU,La UPV/EHU ofrece durante el curso 2014/2015 un doble grado de Física e Ingeniería Electrónica
"Teknologia aplikatuaren ikerkuntzan eta hura enpresei transferitzen 30 urteko esperientzia izanik, IK4-TEKNIKERek espezializazio-maila altua lortu du lau eremu handitan (doitasun-ingeniaritza eta mekatronika, gainazalen ingeniaritza, ekoizpen-ingeniaritza eta automatizazioa eta fabrikazio-teknologiak), eta, horri esker, edozein lanen zerbitzura jar dezake bere abangoardiako teknologia.","Con 30 años de experiencia en la investigación en tecnología aplicada y en su transferencia a la empresa, IK4-TEKNIKER ha alcanzado un alto grado de especialización en cuatro grandes áreas (Ingeniería de Precisión y Mecatrónica, Ingeniería de Superficies, Ingeniería de Producción y Automatización y Tecnologías de Fabricación), lo que le permite poner su tecnología de vanguardia al servicio de cualquier tipo de tarea.","Siendo 30 años de experiencia en la investigación de la tecnología aplicada y su transferencia a empresas, IK4-TECNIKER ha alcanzado un alto grado de especialización en cuatro grandes áreas (ingeniería de precisión y mecatrónica, ingeniería de superficies, ingeniería de producción y automatización y tecnologías de fabricación), lo que le permite poner al servicio de cualquier obra su tecnología de vanguardia."
"ECTS kopurua: 4,5 | Titulua: INDUSTRIA ANTOLAKUNTZAKO INGENIARITZA GRADUA","ECTS: 6,0 | Título: GRADO EN INGENIERÍA EN ORGANIZACIÓN INDUSTRIAL","No ECTS: Título 4,5 19: INGENIERÍA GRADO EN ORGANIZACIÓN INDUSTRIAL"
Azpimarratu beharra izan behar du negozio-aurreinskripzioen interpretazioa ingeniaritza espezializatuan eta UC ordenamendurako planifikatzeko gaitasuna izatea.,El suplente debe tener la capacidad de hacer una interpretación de los prerrequisitos comerciales en la ingeniería especializada y el plan para un acuerdo de UC.,Debe destacar la capacidad de interpretación de las preinscripciones de negocio en ingeniería especializada y de planificación para el ordenamiento UC.
"IK4-TEKNIKER-ek espezializazio maila altua du gainazal-ingeniaritzan, tribologiaren eta estalduren esparruan eta aditua da hainbat materialen (metalikoen, polimerikoen, zeramikoen) gaineko funtzionaltasun-tarte handia hartzen duten aplikazioetarako irtenbide espezifikoak garatzen.","IK4-TEKNIKER, que cuenta con un alto grado de especialización en ingeniería de superficies, en los campos de la tribología y los recubrimientos, es experto en el desarrollo de soluciones específicas para distintas aplicaciones que abarcan un amplio rango de funcionalidades sobre distintos materiales (metálicos, poliméricos, cerámicos).","IK4-TECNIKER tiene un alto nivel de especialización en ingeniería de superficie, en el ámbito de la tribología y de las coberturas y es experto en el desarrollo de soluciones específicas para aplicaciones que ocupan un alto margen de funcionalidad sobre materiales (metálicos, poliméricos, cerámicos)."
"Aipatutako testuinguru horretan, bada, hartu zuen parte IK4 aliantza estrategikoak ""Fabrikazio aditiboak zure enpresan izango duen eragina eta ekarriko dizkion onurak"" jardunaldian, iragan martxoaren 7an, Gipuzkoako Zientzia eta Teknologia Parkean. SPRI Taldeak, Gipuzkoako Ganberak, Eusko Jaurlaritzak eta Gipuzkoako Foru Aldundiak antolatu zuten saioa, non ikerketaren, ingeniaritza industrialaren, aholkularitzaren eta fabrikazioaren alorretako zenbait adituk hartu zuten parte, hitzaldiak emanez eta mahai-inguruetan jardunez.","En este contexto, la Alianza Tecnológica IK4,participó en la celebración de la jornada “Fabricación Aditiva: descubre los beneficios y su impacto en tu empresa”, celebrada el pasado 7 de marzo en el Parque Científico y sesión, organizada por el Grupo SPRI, la Cámara de Gipuzkoa, el Gobierno Vasco y la Diputación Foral de Gipuzkoa, contó con un programa de conferencias y mesas de debate en las que participaron diversos expertos procedentes del ámbito de la investigación, la ingeniería industrial, la consultoría y la fabricación.","En este contexto, la alianza estratégica IK4 participó el pasado 7 de marzo en la jornada ""Influencia y beneficios de la Fabricación Adictiva en tu empresa"" organizada por SPRI, la Cámara de Gipuzkoa, el Gobierno Vasco y la Diputación Foral de Gipuzkoa, en la que participaron expertos de investigación, ingeniería industrial, consultoría y fabricación, dando conferencias y actuando en mesas redondas."
"Sisteplant-ek, ingeniaritza industrialeko zerbitzuak eskaintzen dituen enpresak, bere jarduera eta zerbitzuak aurkeztuko dizkie produkzio prozesuetan nanomaterialak erabiltzen dituzten enpresei eta, azkenik, denetan berrienak, Nanoinmag izenekoak, hemendik gutxira ekoitziko dituen nanopartikula inorganiko, polimeriko eta magnetikoak aurkeztuko ditu, zeintzuk hainbat sektore industrialetan erabili ahal izango baitira, hala nola automozioan, energian, makina-erremintan, eraikuntzan, e.a.","Sisteplant, empresa de servicios de ingeniería industrial presenta su actividad y servicios para empresas que incorporen nanomateriales en sus procesos productivos y por último, la más reciente de todas ellas, Nanoinmag muestra su futura producción de nanopartículas inorgánicas, poliméricas y magnéticas de uso en diferentes sectores industriales como automoción, energía, máquina herramienta, construcción, etc.","Sisteplant, empresa que ofrece servicios de ingeniería industrial, presentará su actividad y servicios a las empresas que utilizan nanomateriales en procesos productivos y, finalmente, a las más recientes, Nanoinmag, presentará en breve nanopartículas inorgánicas, poliméricas y magnéticas que se podrán utilizar en sectores industriales como la automoción, la energía, las máquinas-herramientas, la construcción, etc."
"Tailerreko makina handiak fabrikaziorako erabili ohi dira, non ingeniaritzako printzipioen inpaktuak ez daukat batere zerikusirik ohiko tamainako makinetan aplikatutakoenarekin.","Las máquinas grandes de taller se utilizan comúnmente para la fabricación, donde el impacto de los principios generales de ingeniería difiere sustancialmente de los aplicados a las máquinas de tamaño convencional.","Las grandes máquinas del taller suelen utilizarse para la fabricación, donde no tengo nada que ver con los impactos de los principios de ingeniería aplicados en máquinas de tamaño habitual."
Zentro teknologikoak presentzia nabarmena izan du Produkzioko Ingeniaritzaren Nazioarteko Akademiaren (CIRP) azken biltzarrean.,El centro tecnológico ha tenido una presencia destacada en la última asamblea de la Academia Internacional de Ingeniería de Producción (CIRP) La...,El centro tecnológico ha contado con una notable presencia en el último congreso de la Academia Internacional de Ingeniería en Producción (CIRP).
"Hemen, arinago esandako guztiagatik baino, euskal ingeniaritzaren historian rara avis den irudiagatik bere irudia azpimarratzen dugu: berak izendatzen zuen ""bikaintasun teknikoari"" buruz betidanik izan zuen sentiberatasunagatik eta erakutsitako arduragatik.","Aquí se glosa su figura, más que por todo lo anterior, por una faceta que es rara avis en la historia de la ingeniería vasca; por la preocupación que mostró, por la sensibilidad que siempre tuvo, hacia lo que él denominaba la ""excelencia técnica"".","Aquí, más que por todo lo anterior, destacamos su imagen por la imagen que es ravis en la historia de la ingeniería vasca: por la sensibilidad y la preocupación que siempre tuvo sobre la ""experiencia técnica"" que ella nombraba."
"Zorte izan dut, Waterlooko Unibertsitatean Ingeniaritza Mekanikoko Departamentuko katedradun Kaan Erkorkmaz doktorearekin lan egiteko eta harengandik ikasteko aukera izan baitut.","He tenido la suerte de colaborar y aprender con el doctor Kaan Erkorkmaz, profesor del Departamento de Ingeniería Mecánica de la Universidad de Waterloo.","Tuve la suerte de poder trabajar con el doctor Kaan Erkorkmaz, catedrático del Departamento de Ingeniería Mecánica de la Universidad de Waterloo, y aprender de él."
"IMH Eguna 2016 ospatu dugu gaur, urtarrilak 29. Goizean zehar hainbat proba egin dituzte Heziketa Ziklo, Ingeniaritza Dualeko ikasle, irakasle eta lankdeek giro bikainean, eta bazkal ostean Bocabeats bikotearekin umore onean amaitu dugu eguna.","Usted está aquí: Inicio › El 29 de enero hemos celebrado el IMH Eguna 2016 con diversas pruebas en las que han participado los equipos de alumnos de ciclos formativos, ingeniería dual y profesores trabajadores del IMH.","Durante la mañana del 29 de enero se han llevado a cabo diferentes pruebas del Ciclo Formativo, de alumnos, profesores y trabajadores de la Ingeniería Dual en un ambiente extraordinario, y tras el almuerzo hemos acabado de buen humor con la pareja Bocage."
Denak Elkarrizketak Enkarni Gomez Genua Ingeniaritzan Doktorea.,Todas Entrevistas Enkarni Gomez Genua Doctora en Ingeniería.,Todos Entrevistas Doctor en Ingeniería Enkarni Gómez Genua.
"MONDRAGON UNIBERTSITATEKO Goi Eskola Politeknikoak SENER gela izango du modu iraunkorrean Arrasateko campusean, fakultateak eta SENER ingeniaritza eta eraikuntzako enpresak sinatu duten lankidetza-hitzarmenari esker. SENER gelan ikerkuntzari eta elkarlaneko ezagutza-transferentziari buruzko proiektuak landuko dituzte.","MONDRAGON UNIBERTSITATEA y la empresa de ingeniería y construcción SENER SENER han firmado hoy un convenio marco de colaboración para trabajar conjuntamente en proyectos de investigación y transferencia tecnológica, formación continua, formación de jóvenes ingenieros y captación de talento.","La Escuela Politécnica Superior de MONDRAGON UNIBERTSITATEA contará con una habitación SENER permanente en el campus de Arrasate, gracias al convenio de colaboración suscrito por la Facultad y la empresa de ingeniería y construcción SENER, que abordará proyectos de investigación y transferencia de conocimiento en colaboración en la sala SENER."
"Diziplina anitzeko ingeniaritza-zerbitzua eskaintzen du eraikin konplexu eta bakanen diseinuak gauzatzeko; geure soluzio patentatuak erabiltzen ditugu haietan, estaldura, fatxada eta sistema erretraktilen egituretarako.","Ofrece un servicio de ingeniería multidisciplinar para hacer realidad los diseños de los edificios más complejos y singulares a través de nuestras soluciones patentadas de estructuras para cubiertas, fachadas y sistemas retráctiles.","Ofrece un servicio multidisciplinar de ingeniería para la realización de diseños de edificios complejos y escasos en los que utilizamos nuestras soluciones patentadas para las estructuras de cobertura, fachada y sistemas retractores."
Ingeniaritza Ingeniaritza Mekanikoko Gradua,Departamento de Ingeniería Mecánica,Grado en Ingeniería Mecánica
"2002an, Eleka Ingeniaritza Linguistikoa enpresa teknologikoa sortu genuen EHUko IXA ikerketa-taldearekin batera, gure ikerketen emaitzak bizkorrago merkaturatu ahal izateko.","En 2002 creamos la empresa tecnológica Eleka Ingeniaritza Linguistikoa junto con el grupo de investigación IXA de la UPV/EHU, para así poder comerzializar con más agilidad los resultados de nuestras investigaciones.","En 2002, fundamos la empresa tecnológica Eleka Ingeniería Lingüística junto con el grupo de investigación IXA de la UPV/EHU, para poder comercializar más rápidamente los resultados de nuestras investigaciones."
"BESTE BATZUK Ingeniaritza, Garapena, Berrikuntza Outsourcing","OTROS Ingeniería, Desarrollo, Innovación & Outsourcing","OTROS CONTACTOS EN Ingeniería, Desarrollo, Innovación Outsourcing"
"– «Inplantariaren» (aholkularitza eta ingeniaritza enpresak) ordu-dedikazioaren gastuak, horren barnean sartuz fabrikan ematen den laguntza eta aholkularitza.","– Gastos de dedicación horaria del «implantador» (empresas de consultoría e ingeniería), incluído el acompañamiento y asesoramiento en la planta industrial.","- """"'Inplantaria"" (empresas de asesoría e ingeniería) gastos de dedicación horaria, incluyendo el apoyo y asesoramiento en la fábrica."
Unibertsitate Masterra Materialen eta Fabrikazioaren Ingeniaritzan,Máster Universitario en Ingeniería de Materiales y Fabricación,Máster Universitario en Ingeniería de Materiales y Fabricación
“World Universities Debating Championship” nazioarteko txapelketa abenduaren 27tik abenduaren 21a [Erakundeak] Antonio López NUP-eko katedradunari saria eman diote ingeniaritza arloko nazioarteko erakunde handienaren presidente izateagatik,"Viernes 21 de diciembre de 2018 [Institucional] El catedrático de la UPNA Antonio López, premiado por la mayor organización internacional en el campo de la ingeniería","El campeonato internacional IZWorld Universities Debating Championship191919, concedido entre el 27 de diciembre y el 21 de diciembre al catedrático de la NUP, Antonio López, por ser presidente de la mayor organización internacional en ingeniería"
Material Berriztagarrien Ingeniaritza Masterra - UPV/EHU,Máster en Ingeniería de Materiales Renovables - UPV/EHU,Máster en Ingeniería de Materiales Renovables - UPV/EHU
Unitate Bioingeniaritza ingeniaritzaren printzipioak eta teknikak medikuntzaren arloan aplikatzean datza.,IIS Biodonostia La Bioingeniería es la aplicación de los principios y técnicas de la ingeniería al campo de la medicina.,La Unidad Bioingeniería consiste en aplicar los principios y técnicas de la ingeniería en el campo de la medicina.
"ULMA Embedded Solutionsek, IAR Systems erremintak saltzeaz gain, hauekin erlazionatutako laguntza eta beste ingeniaritza zerbitzu batzuk eskainiko ditu.","Además de vender las herramientas de IAR Systems, en ULMA podemos ofrecer soporte y otros servicios de ingeniería alrededor de esta tecnología.","ULMA Embedd Solutions, además de vender las herramientas IAR Systems, ofrecerá ayuda y otros servicios de ingeniería relacionados con ellas."
